DOI,Publication Year
10.1016/j.cap.2017.11.014,2018
10.1016/j.carbon.2010.03.029,2010
10.1016/j.carbon.2010.09.059,2011
10.1016/j.carbon.2014.07.062,2014
10.1016/j.carbon.2014.09.079,2015
10.1016/j.carbon.2014.11.014,2015
10.1016/j.carbon.2015.11.074,2016
10.1016/j.carbon.2016.07.057,2016
10.1016/j.carbon.2018.09.045,2019
10.1016/j.carbon.2019.02.013,2019
10.1016/j.carbon.2019.03.043,2019
10.1016/j.carbon.2022.02.040,2022
10.1016/j.carbon.2022.09.015,2023
10.1016/j.carbon.2025.120263,2025
10.1016/j.carbpol.2018.03.089,2018
10.1016/j.carbpol.2018.12.066,2019
10.1016/j.carbpol.2019.02.044,2019
10.1016/j.carbpol.2019.03.011,2019
10.1016/j.carbpol.2019.115085,2019
10.1016/j.carbpol.2019.115642,2020
10.1016/j.carbpol.2020.115848,2020
10.1016/j.carbpol.2020.116030,2020
10.1016/j.carbpol.2020.116955,2020
10.1016/j.carbpol.2020.117558,2021
10.1016/j.carbpol.2022.120516,2023
10.1016/j.carbpol.2023.121424,2024
10.1016/j.carbpol.2023.121750,2024
10.1016/j.carbpol.2024.122418,2024
10.1016/j.carbpol.2025.123250,2025
10.1016/j.catcom.2010.12.010,2011
10.1016/j.catcom.2011.02.001,2011
10.1016/j.catcom.2012.09.032,2012
10.1016/j.catcom.2013.02.013,2013
10.1016/j.catcom.2013.10.016,2014
10.1016/j.catcom.2013.12.029,2014
10.1016/j.catcom.2014.12.004,2015
10.1016/j.catcom.2015.03.031,2015
10.1016/j.catcom.2015.07.019,2015
10.1016/j.catcom.2016.10.030,2017
10.1016/j.catcom.2017.04.041,2017
10.1016/j.catcom.2017.06.001,2017
10.1016/j.catcom.2017.06.026,2017
10.1016/j.catcom.2017.07.012,2017
10.1016/j.catcom.2017.08.015,2017
10.1016/j.catcom.2018.03.021,2018
10.1016/j.catcom.2018.08.020,2018
10.1016/j.catcom.2018.11.009,2019
10.1016/j.catcom.2020.106002,2020
10.1016/j.catcom.2020.106032,2020
10.1016/j.catcom.2021.106367,2021
10.1016/j.catcom.2022.106420,2022
10.1016/j.catcom.2022.106446,2022
10.1016/j.catcom.2022.106472,2022
10.1016/j.cattod.2006.09.003,2007
10.1016/j.cattod.2011.03.017,2011
10.1016/j.cattod.2012.03.034,2012
10.1016/j.cattod.2012.08.014,2013
10.1016/j.cattod.2012.08.044,2013
10.1016/j.cattod.2013.09.064,2014
10.1016/j.cattod.2014.02.046,2014
10.1016/j.cattod.2014.05.022,2015
10.1016/j.cattod.2014.05.041,2015
10.1016/j.cattod.2014.08.015,2015
10.1016/j.cattod.2015.04.017,2015
10.1016/j.cattod.2015.08.030,2016
10.1016/j.cattod.2015.10.022,2016
10.1016/j.cattod.2016.02.039,2017
10.1016/j.cattod.2017.10.022,2018
10.1016/j.cattod.2018.09.034,2020
10.1016/j.cattod.2018.11.063,2019
10.1016/j.cattod.2019.01.050,2020
10.1016/j.cattod.2019.06.076,2021
10.1016/j.cattod.2019.08.002,2020
10.1016/j.cattod.2019.08.053,2020
10.1016/j.cattod.2019.09.033,2020
10.1016/j.cattod.2019.12.036,2020
10.1016/j.cattod.2019.12.038,2020
10.1016/j.cattod.2021.08.025,2022
10.1016/j.cattod.2021.09.028,2022
10.1016/j.cattod.2021.10.007,2022
10.1016/j.cattod.2021.10.019,2022
10.1016/j.cattod.2021.11.004,2022
10.1016/j.cattod.2021.11.037,2022
10.1016/j.cattod.2022.05.001,2023
10.1016/j.cattod.2022.07.003,2022
10.1016/j.cattod.2024.114705,2024
10.1016/j.cattod.2024.114786,2024
10.1016/j.cattod.2024.114988,2025
10.1016/j.cclet.2013.03.010,2013
10.1016/j.cclet.2013.05.001,2013
10.1016/j.cclet.2013.06.025,2013
10.1016/j.cclet.2013.11.031,2014
10.1016/j.cclet.2014.05.026,2014
10.1016/j.cclet.2014.10.022,2015
10.1016/j.cclet.2015.05.025,2015
10.1016/j.cclet.2015.12.034,2016
10.1016/j.cclet.2017.01.020,2017
10.1016/j.cclet.2017.09.043,2018
10.1016/j.cclet.2017.09.057,2018
10.1016/j.cclet.2017.10.003,2018
10.1016/j.cclet.2017.12.026,2018
10.1016/j.cclet.2019.01.030,2019
10.1016/j.cclet.2019.04.030,2019
10.1016/j.cclet.2019.05.005,2020
10.1016/j.cclet.2019.06.017,2020
10.1016/j.cclet.2020.02.044,2020
10.1016/j.cclet.2020.04.019,2021
10.1016/j.cclet.2020.04.044,2020
10.1016/j.cclet.2020.09.059,2021
10.1016/j.cclet.2021.06.048,2022
10.1016/j.cclet.2021.06.080,2022
10.1016/j.cclet.2021.07.007,2022
10.1016/j.cclet.2021.07.013,2022
10.1016/j.cclet.2021.09.042,2022
10.1016/j.cclet.2021.10.048,2022
10.1016/j.cclet.2022.02.060,2023
10.1016/j.cclet.2022.107814,2023
10.1016/j.cclet.2022.107986,2023
10.1016/j.cclet.2022.107999,2023
10.1016/j.cclet.2023.108269,2023
10.1016/j.cclet.2023.108474,2024
10.1016/j.cclet.2023.108587,2024
10.1016/j.cclet.2023.109120,2024
10.1016/j.cclet.2024.109787,2024
10.1016/j.cclet.2024.109985,2025
10.1016/j.cclet.2024.110503,2025
10.1016/j.cclet.2024.110571,2025
10.1016/j.ccr.2019.05.009,2019
10.1016/j.ccr.2019.07.004,2019
10.1016/j.ccr.2019.213016,2019
10.1016/j.ceramint.2022.01.021,2022
10.1016/j.ceramint.2022.08.076,2022
10.1016/j.ceramint.2023.01.204,2023
10.1016/j.ceramint.2024.02.355,2024
10.1016/j.ceramint.2024.04.159,2024
10.1016/j.ceramint.2024.12.458,2025
10.1016/j.chemphys.2018.06.003,2018
10.1016/j.chemphys.2019.110655,2020
10.1016/j.chempr.2016.08.003,2016
10.1016/j.chempr.2017.09.002,2017
10.1016/j.chempr.2018.03.013,2018
10.1016/j.chempr.2019.10.002,2019
10.1016/j.chempr.2021.07.003,2021
10.1016/j.chempr.2021.10.027,2022
10.1016/j.chempr.2022.02.004,2022
10.1016/j.chempr.2022.03.006,2022
10.1016/j.chempr.2022.03.023,2022
10.1016/j.chempr.2023.02.002,2023
10.1016/j.chempr.2024.02.021,2024
10.1016/j.chempr.2024.03.030,2024
10.1016/j.chroma.2015.02.034,2015
10.1016/j.chroma.2015.12.020,2016
10.1016/j.chroma.2016.03.085,2016
10.1016/j.chroma.2016.09.057,2016
10.1016/j.chroma.2017.01.017,2017
10.1016/j.chroma.2017.04.037,2017
10.1016/j.chroma.2017.05.031,2017
10.1016/j.chroma.2020.461539,2020
10.1016/j.chroma.2020.461580,2020
10.1016/j.chroma.2020.461857,2021
10.1016/j.chroma.2022.463373,2022
10.1016/j.chroma.2023.463849,2023
10.1016/j.chroma.2023.464164,2023
10.1016/j.chroma.2023.464377,2023
10.1016/j.cis.2020.102108,2020
10.1016/j.cis.2022.102686,2022
10.1016/j.cis.2023.102864,2023
10.1016/j.cis.2023.102967,2023
10.1016/j.cis.2023.103007,2023
10.1016/j.cis.2023.103050,2024
10.1016/j.cis.2024.103153,2024
10.1016/j.cis.2024.103162,2024
10.1016/j.cis.2024.103184,2024
10.1016/j.cis.2025.103509,2025
10.1016/j.cis.2025.103592,2025
10.1016/j.cjsc.2023.100125,2023
10.1016/j.clay.2021.106371,2022
10.1016/j.coco.2019.12.008,2020
10.1016/j.coco.2024.101933,2024
10.1016/j.cogsc.2024.100948,2024
10.1016/j.colcom.2021.100511,2022
10.1016/j.colcom.2021.100529,2021
10.1016/j.colsurfa.2012.11.067,2013
10.1016/j.colsurfa.2015.09.020,2015
10.1016/j.colsurfa.2016.02.038,2016
10.1016/j.colsurfa.2017.01.058,2017
10.1016/j.colsurfa.2018.05.014,2018
10.1016/j.colsurfa.2019.02.025,2019
10.1016/j.colsurfa.2019.123645,2019
10.1016/j.colsurfa.2020.124781,2020
10.1016/j.colsurfa.2020.125157,2020
10.1016/j.colsurfa.2020.125236,2020
10.1016/j.colsurfa.2020.125330,2020
10.1016/j.colsurfa.2020.125477,2020
10.1016/j.colsurfa.2021.126242,2021
10.1016/j.colsurfa.2021.127089,2021
10.1016/j.colsurfa.2021.127704,2021
10.1016/j.colsurfa.2021.128034,2022
10.1016/j.colsurfa.2021.128076,2022
10.1016/j.colsurfa.2022.128421,2022
10.1016/j.colsurfa.2022.129477,2022
10.1016/j.colsurfa.2022.129749,2022
10.1016/j.colsurfa.2022.130751,2023
10.1016/j.colsurfa.2022.130847,2023
10.1016/j.colsurfa.2023.132472,2023
10.1016/j.colsurfa.2023.133032,2024
10.1016/j.colsurfa.2024.133596,2024
10.1016/j.colsurfa.2024.134323,2024
10.1016/j.colsurfa.2024.135058,2024
10.1016/j.colsurfa.2024.135179,2024
10.1016/j.colsurfa.2024.135418,2024
10.1016/j.colsurfa.2024.135492,2025
10.1016/j.colsurfa.2024.135616,2025
10.1016/j.colsurfa.2024.135642,2025
10.1016/j.colsurfa.2024.135977,2025
10.1016/j.colsurfa.2025.136320,2025
10.1016/j.colsurfa.2025.136754,2025
10.1016/j.colsurfb.2019.03.032,2019
10.1016/j.colsurfb.2020.110837,2020
10.1016/j.colsurfb.2021.112147,2021
10.1016/j.colsurfb.2023.113246,2023
10.1016/j.colsurfb.2023.113266,2023
10.1016/j.colsurfb.2025.114935,2025
10.1016/j.commatsci.2022.111388,2022
10.1016/j.commatsci.2022.111872,2023
10.1016/j.compositesb.2021.109532,2022
10.1016/j.cplett.2009.03.083,2009
10.1016/j.cplett.2020.137283,2020
10.1016/j.cplett.2021.138469,2021
10.1016/j.cplett.2021.138690,2021
10.1016/j.cplett.2021.138906,2021
10.1016/j.cplett.2022.139859,2022
10.1016/j.cplett.2024.141089,2024
10.1016/j.cplett.2024.141790,2025
10.1016/j.crci.2012.11.011,2013
10.1016/j.crci.2014.10.002,2015
10.1016/j.crci.2019.05.006,2019
10.1016/j.cscm.2024.e03586,2024
10.1016/j.diamond.2024.111313,2024
10.1016/j.dyepig.2013.05.004,2013
10.1016/j.dyepig.2013.09.041,2014
10.1016/j.dyepig.2014.01.032,2014
10.1016/j.dyepig.2014.06.010,2014
10.1016/j.dyepig.2015.03.037,2015
10.1016/j.dyepig.2015.06.035,2015
10.1016/j.dyepig.2015.09.024,2016
10.1016/j.dyepig.2016.02.022,2016
10.1016/j.dyepig.2016.03.005,2016
10.1016/j.dyepig.2016.03.027,2016
10.1016/j.dyepig.2016.09.021,2017
10.1016/j.dyepig.2016.12.039,2017
10.1016/j.dyepig.2018.05.064,2018
10.1016/j.dyepig.2019.03.055,2019
10.1016/j.dyepig.2019.04.008,2019
10.1016/j.dyepig.2019.107565,2019
10.1016/j.dyepig.2019.107604,2019
10.1016/j.dyepig.2019.107798,2020
10.1016/j.dyepig.2019.108035,2020
10.1016/j.dyepig.2019.108159,2020
10.1016/j.dyepig.2020.108638,2020
10.1016/j.dyepig.2020.108834,2021
10.1016/j.dyepig.2020.109068,2021
10.1016/j.dyepig.2021.109809,2021
10.1016/j.dyepig.2021.109812,2022
10.1016/j.dyepig.2021.110000,2022
10.1016/j.dyepig.2022.110182,2022
10.1016/j.dyepig.2022.110253,2022
10.1016/j.dyepig.2022.110438,2022
10.1016/j.dyepig.2022.110587,2022
10.1016/j.dyepig.2022.110648,2022
10.1016/j.dyepig.2023.111499,2023
10.1016/j.dyepig.2023.111673,2023
10.1016/j.dyepig.2024.112600,2025
10.1016/j.dyepig.2025.112953,2025
10.1016/j.flatc.2021.100287,2021
10.1016/j.fluid.2019.05.007,2019
10.1016/j.foodchem.2021.131760,2022
10.1016/j.foodchem.2022.133056,2022
10.1016/j.foodchem.2022.134134,2023
10.1016/j.foodchem.2022.134248,2023
10.1016/j.foodchem.2023.136000,2023
10.1016/j.foodchem.2024.139167,2024
10.1016/j.foodchem.2024.139272,2024
10.1016/j.foodchem.2024.139533,2024
10.1016/j.foodhyd.2022.108294,2023
10.1016/j.foodhyd.2023.109318,2024
10.1016/j.fuproc.2022.107250,2022
10.1016/j.fuproc.2023.107700,2023
10.1016/j.ica.2004.01.003,2004
10.1016/j.ica.2004.03.019,2004
10.1016/j.ica.2004.05.016,2004
10.1016/j.ica.2004.05.037,2004
10.1016/j.ica.2004.07.004,2005
10.1016/j.ica.2004.07.020,2004
10.1016/j.ica.2004.07.029,2005
10.1016/j.ica.2004.10.033,2005
10.1016/j.ica.2005.03.015,2005
10.1016/j.ica.2005.05.004,2005
10.1016/j.ica.2005.07.040,2006
10.1016/j.ica.2005.09.041,2006
10.1016/j.ica.2005.09.051,2006
10.1016/j.ica.2005.09.059,2006
10.1016/j.ica.2005.12.077,2006
10.1016/j.ica.2006.04.022,2006
10.1016/j.ica.2006.08.006,2007
10.1016/j.ica.2006.09.025,2007
10.1016/j.ica.2006.10.023,2007
10.1016/j.ica.2006.10.044,2007
10.1016/j.ica.2006.12.038,2007
10.1016/j.ica.2007.02.038,2007
10.1016/j.ica.2007.03.005,2007
10.1016/j.ica.2007.03.038,2007
10.1016/j.ica.2007.03.048,2007
10.1016/j.ica.2007.04.007,2007
10.1016/j.ica.2007.04.035,2007
10.1016/j.ica.2007.05.014,2007
10.1016/j.ica.2007.05.049,2007
10.1016/j.ica.2007.06.005,2008
10.1016/j.ica.2007.08.006,2008
10.1016/j.ica.2007.09.034,2008
10.1016/j.ica.2007.10.043,2008
10.1016/j.ica.2008.02.038,2009
10.1016/j.ica.2008.02.040,2008
10.1016/j.ica.2008.03.103,2009
10.1016/j.ica.2008.03.108,2008
10.1016/j.ica.2008.04.044,2009
10.1016/j.ica.2008.06.013,2009
10.1016/j.ica.2008.07.026,2009
10.1016/j.ica.2008.08.025,2009
10.1016/j.ica.2008.08.032,2009
10.1016/j.ica.2008.09.008,2009
10.1016/j.ica.2008.09.052,2009
10.1016/j.ica.2008.09.053,2009
10.1016/j.ica.2008.10.008,2009
10.1016/j.ica.2008.10.015,2009
10.1016/j.ica.2008.10.038,2009
10.1016/j.ica.2008.11.019,2009
10.1016/j.ica.2008.11.031,2009
10.1016/j.ica.2008.12.008,2009
10.1016/j.ica.2008.12.011,2009
10.1016/j.ica.2009.01.004,2009
10.1016/j.ica.2009.01.010,2009
10.1016/j.ica.2009.01.036,2009
10.1016/j.ica.2009.01.042,2009
10.1016/j.ica.2009.02.029,2009
10.1016/j.ica.2009.02.040,2009
10.1016/j.ica.2009.03.017,2009
10.1016/j.ica.2009.03.023,2009
10.1016/j.ica.2009.03.033,2009
10.1016/j.ica.2009.04.004,2009
10.1016/j.ica.2009.04.033,2009
10.1016/j.ica.2009.04.036,2009
10.1016/j.ica.2009.04.037,2009
10.1016/j.ica.2009.05.059,2009
10.1016/j.ica.2009.06.040,2009
10.1016/j.ica.2009.06.048,2009
10.1016/j.ica.2009.06.053,2009
10.1016/j.ica.2009.08.031,2010
10.1016/j.ica.2009.09.014,2009
10.1016/j.ica.2009.09.017,2009
10.1016/j.ica.2009.09.022,2009
10.1016/j.ica.2009.09.031,2009
10.1016/j.ica.2009.09.043,2010
10.1016/j.ica.2009.10.001,2009
10.1016/j.ica.2009.10.011,2010
10.1016/j.ica.2009.10.024,2010
10.1016/j.ica.2009.11.001,2010
10.1016/j.ica.2009.11.019,2010
10.1016/j.ica.2009.12.016,2010
10.1016/j.ica.2009.12.022,2010
10.1016/j.ica.2009.12.023,2010
10.1016/j.ica.2009.12.044,2010
10.1016/j.ica.2009.12.056,2010
10.1016/j.ica.2010.01.043,2010
10.1016/j.ica.2010.02.012,2010
10.1016/j.ica.2010.03.047,2010
10.1016/j.ica.2010.04.011,2010
10.1016/j.ica.2010.04.021,2010
10.1016/j.ica.2010.04.034,2010
10.1016/j.ica.2010.05.013,2010
10.1016/j.ica.2010.05.024,2010
10.1016/j.ica.2010.05.026,2010
10.1016/j.ica.2010.05.037,2010
10.1016/j.ica.2010.05.038,2010
10.1016/j.ica.2010.05.039,2010
10.1016/j.ica.2010.05.054,2010
10.1016/j.ica.2010.05.055,2010
10.1016/j.ica.2010.07.023,2010
10.1016/j.ica.2010.07.043,2010
10.1016/j.ica.2010.07.047,2010
10.1016/j.ica.2010.08.004,2010
10.1016/j.ica.2010.08.007,2010
10.1016/j.ica.2010.08.026,2011
10.1016/j.ica.2010.09.001,2011
10.1016/j.ica.2010.09.013,2011
10.1016/j.ica.2010.09.034,2011
10.1016/j.ica.2010.10.011,2011
10.1016/j.ica.2010.10.015,2011
10.1016/j.ica.2010.10.020,2011
10.1016/j.ica.2010.12.017,2011
10.1016/j.ica.2010.12.026,2011
10.1016/j.ica.2010.12.053,2011
10.1016/j.ica.2010.12.067,2011
10.1016/j.ica.2011.01.005,2011
10.1016/j.ica.2011.01.019,2011
10.1016/j.ica.2011.01.037,2011
10.1016/j.ica.2011.02.014,2011
10.1016/j.ica.2011.02.016,2011
10.1016/j.ica.2011.02.019,2011
10.1016/j.ica.2011.02.083,2011
10.1016/j.ica.2011.02.092,2011
10.1016/j.ica.2011.03.049,2011
10.1016/j.ica.2011.03.053,2011
10.1016/j.ica.2011.03.072,2011
10.1016/j.ica.2011.04.006,2011
10.1016/j.ica.2011.04.023,2011
10.1016/j.ica.2011.04.029,2011
10.1016/j.ica.2011.05.029,2011
10.1016/j.ica.2011.06.016,2011
10.1016/j.ica.2011.06.020,2011
10.1016/j.ica.2011.06.038,2011
10.1016/j.ica.2011.06.040,2011
10.1016/j.ica.2011.07.017,2011
10.1016/j.ica.2011.08.009,2011
10.1016/j.ica.2011.08.028,2011
10.1016/j.ica.2011.08.069,2011
10.1016/j.ica.2011.09.001,2011
10.1016/j.ica.2011.09.008,2011
10.1016/j.ica.2011.09.016,2011
10.1016/j.ica.2011.09.049,2012
10.1016/j.ica.2011.11.020,2012
10.1016/j.ica.2011.11.028,2012
10.1016/j.ica.2011.11.029,2012
10.1016/j.ica.2011.11.044,2012
10.1016/j.ica.2011.11.057,2012
10.1016/j.ica.2011.11.061,2012
10.1016/j.ica.2011.12.006,2012
10.1016/j.ica.2011.12.017,2012
10.1016/j.ica.2011.12.018,2012
10.1016/j.ica.2011.12.027,2012
10.1016/j.ica.2011.12.030,2012
10.1016/j.ica.2011.12.037,2012
10.1016/j.ica.2011.12.051,2012
10.1016/j.ica.2012.01.011,2012
10.1016/j.ica.2012.01.037,2012
10.1016/j.ica.2012.01.041,2012
10.1016/j.ica.2012.01.046,2012
10.1016/j.ica.2012.01.056,2012
10.1016/j.ica.2012.02.010,2012
10.1016/j.ica.2012.02.014,2012
10.1016/j.ica.2012.02.017,2012
10.1016/j.ica.2012.02.029,2012
10.1016/j.ica.2012.03.011,2012
10.1016/j.ica.2012.03.035,2012
10.1016/j.ica.2012.04.009,2012
10.1016/j.ica.2012.04.039,2012
10.1016/j.ica.2012.04.043,2012
10.1016/j.ica.2012.04.044,2012
10.1016/j.ica.2012.05.019,2012
10.1016/j.ica.2012.05.031,2012
10.1016/j.ica.2012.05.037,2012
10.1016/j.ica.2012.05.039,2012
10.1016/j.ica.2012.06.034,2012
10.1016/j.ica.2012.06.035,2012
10.1016/j.ica.2012.07.008,2013
10.1016/j.ica.2012.07.010,2013
10.1016/j.ica.2012.07.031,2013
10.1016/j.ica.2012.07.033,2013
10.1016/j.ica.2012.08.006,2013
10.1016/j.ica.2012.08.011,2013
10.1016/j.ica.2012.08.012,2013
10.1016/j.ica.2012.08.027,2013
10.1016/j.ica.2012.09.007,2013
10.1016/j.ica.2012.10.022,2013
10.1016/j.ica.2012.10.023,2013
10.1016/j.ica.2012.10.034,2013
10.1016/j.ica.2012.11.018,2013
10.1016/j.ica.2012.11.019,2013
10.1016/j.ica.2012.11.021,2013
10.1016/j.ica.2012.12.033,2013
10.1016/j.ica.2013.01.006,2013
10.1016/j.ica.2013.01.029,2013
10.1016/j.ica.2013.02.004,2013
10.1016/j.ica.2013.02.016,2013
10.1016/j.ica.2013.02.026,2013
10.1016/j.ica.2013.02.031,2013
10.1016/j.ica.2013.02.032,2013
10.1016/j.ica.2013.03.003,2013
10.1016/j.ica.2013.03.012,2013
10.1016/j.ica.2013.03.029,2013
10.1016/j.ica.2013.03.033,2013
10.1016/j.ica.2013.03.041,2013
10.1016/j.ica.2013.04.010,2013
10.1016/j.ica.2013.04.012,2013
10.1016/j.ica.2013.04.039,2013
10.1016/j.ica.2013.05.004,2013
10.1016/j.ica.2013.05.007,2013
10.1016/j.ica.2013.05.010,2013
10.1016/j.ica.2013.05.015,2013
10.1016/j.ica.2013.05.016,2013
10.1016/j.ica.2013.05.019,2013
10.1016/j.ica.2013.05.037,2013
10.1016/j.ica.2013.06.005,2013
10.1016/j.ica.2013.06.013,2013
10.1016/j.ica.2013.06.014,2013
10.1016/j.ica.2013.06.024,2013
10.1016/j.ica.2013.07.013,2013
10.1016/j.ica.2013.07.050,2013
10.1016/j.ica.2013.07.059,2013
10.1016/j.ica.2013.09.007,2013
10.1016/j.ica.2013.09.041,2014
10.1016/j.ica.2013.10.018,2014
10.1016/j.ica.2013.10.034,2014
10.1016/j.ica.2013.11.007,2014
10.1016/j.ica.2013.11.014,2014
10.1016/j.ica.2013.11.016,2014
10.1016/j.ica.2013.12.002,2014
10.1016/j.ica.2013.12.016,2014
10.1016/j.ica.2013.12.035,2014
10.1016/j.ica.2013.12.037,2014
10.1016/j.ica.2014.01.014,2014
10.1016/j.ica.2014.01.037,2014
10.1016/j.ica.2014.02.001,2014
10.1016/j.ica.2014.02.014,2014
10.1016/j.ica.2014.03.019,2014
10.1016/j.ica.2014.03.022,2014
10.1016/j.ica.2014.04.009,2014
10.1016/j.ica.2014.04.038,2014
10.1016/j.ica.2014.05.028,2014
10.1016/j.ica.2014.05.032,2014
10.1016/j.ica.2014.06.006,2014
10.1016/j.ica.2014.07.041,2014
10.1016/j.ica.2014.07.051,2014
10.1016/j.ica.2014.07.063,2015
10.1016/j.ica.2014.07.075,2014
10.1016/j.ica.2014.07.077,2014
10.1016/j.ica.2014.08.009,2014
10.1016/j.ica.2014.08.043,2015
10.1016/j.ica.2014.08.053,2015
10.1016/j.ica.2014.09.025,2015
10.1016/j.ica.2014.10.008,2015
10.1016/j.ica.2014.11.013,2015
10.1016/j.ica.2014.11.039,2015
10.1016/j.ica.2014.12.002,2015
10.1016/j.ica.2014.12.007,2015
10.1016/j.ica.2014.12.010,2015
10.1016/j.ica.2014.12.036,2015
10.1016/j.ica.2015.01.004,2015
10.1016/j.ica.2015.01.015,2015
10.1016/j.ica.2015.01.018,2015
10.1016/j.ica.2015.01.024,2015
10.1016/j.ica.2015.01.035,2015
10.1016/j.ica.2015.02.010,2015
10.1016/j.ica.2015.02.017,2015
10.1016/j.ica.2015.03.011,2015
10.1016/j.ica.2015.03.025,2015
10.1016/j.ica.2015.03.035,2015
10.1016/j.ica.2015.03.043,2015
10.1016/j.ica.2015.04.022,2015
10.1016/j.ica.2015.04.030,2015
10.1016/j.ica.2015.05.018,2015
10.1016/j.ica.2015.05.021,2015
10.1016/j.ica.2015.06.006,2015
10.1016/j.ica.2015.06.016,2015
10.1016/j.ica.2015.07.006,2015
10.1016/j.ica.2015.07.045,2015
10.1016/j.ica.2015.08.015,2015
10.1016/j.ica.2015.08.033,2015
10.1016/j.ica.2015.10.016,2016
10.1016/j.ica.2015.10.025,2016
10.1016/j.ica.2015.10.036,2016
10.1016/j.ica.2015.11.007,2016
10.1016/j.ica.2015.12.010,2016
10.1016/j.ica.2016.01.001,2016
10.1016/j.ica.2016.01.032,2016
10.1016/j.ica.2016.02.001,2016
10.1016/j.ica.2016.03.009,2016
10.1016/j.ica.2016.03.010,2016
10.1016/j.ica.2016.03.015,2016
10.1016/j.ica.2016.03.029,2016
10.1016/j.ica.2016.03.045,2016
10.1016/j.ica.2016.03.048,2016
10.1016/j.ica.2016.04.049,2016
10.1016/j.ica.2016.05.002,2016
10.1016/j.ica.2016.05.024,2016
10.1016/j.ica.2016.05.029,2017
10.1016/j.ica.2016.05.042,2016
10.1016/j.ica.2016.05.051,2016
10.1016/j.ica.2016.06.009,2016
10.1016/j.ica.2016.06.011,2016
10.1016/j.ica.2016.06.042,2016
10.1016/j.ica.2016.07.001,2016
10.1016/j.ica.2016.07.008,2016
10.1016/j.ica.2016.07.022,2017
10.1016/j.ica.2016.07.049,2016
10.1016/j.ica.2016.07.051,2016
10.1016/j.ica.2016.08.001,2016
10.1016/j.ica.2016.08.005,2016
10.1016/j.ica.2016.09.016,2016
10.1016/j.ica.2016.09.037,2017
10.1016/j.ica.2016.09.044,2016
10.1016/j.ica.2016.09.046,2017
10.1016/j.ica.2016.10.012,2017
10.1016/j.ica.2016.10.016,2017
10.1016/j.ica.2016.10.021,2017
10.1016/j.ica.2016.12.021,2017
10.1016/j.ica.2017.01.004,2017
10.1016/j.ica.2017.01.026,2017
10.1016/j.ica.2017.02.012,2017
10.1016/j.ica.2017.02.021,2017
10.1016/j.ica.2017.02.033,2017
10.1016/j.ica.2017.03.023,2017
10.1016/j.ica.2017.03.039,2017
10.1016/j.ica.2017.03.042,2017
10.1016/j.ica.2017.04.056,2017
10.1016/j.ica.2017.05.062,2017
10.1016/j.ica.2017.05.066,2017
10.1016/j.ica.2017.06.029,2018
10.1016/j.ica.2017.06.048,2018
10.1016/j.ica.2017.07.025,2018
10.1016/j.ica.2017.07.038,2017
10.1016/j.ica.2017.07.057,2017
10.1016/j.ica.2017.08.013,2018
10.1016/j.ica.2017.08.019,2017
10.1016/j.ica.2017.08.030,2017
10.1016/j.ica.2017.08.054,2018
10.1016/j.ica.2017.08.055,2018
10.1016/j.ica.2017.08.063,2018
10.1016/j.ica.2017.09.012,2018
10.1016/j.ica.2017.09.019,2018
10.1016/j.ica.2017.09.026,2018
10.1016/j.ica.2017.09.047,2018
10.1016/j.ica.2017.10.001,2018
10.1016/j.ica.2017.10.015,2018
10.1016/j.ica.2017.10.029,2018
10.1016/j.ica.2017.10.034,2018
10.1016/j.ica.2017.11.008,2018
10.1016/j.ica.2017.11.030,2018
10.1016/j.ica.2017.11.032,2018
10.1016/j.ica.2017.11.033,2018
10.1016/j.ica.2017.11.045,2018
10.1016/j.ica.2017.11.046,2018
10.1016/j.ica.2017.11.048,2018
10.1016/j.ica.2017.11.053,2018
10.1016/j.ica.2017.12.036,2018
10.1016/j.ica.2018.01.025,2018
10.1016/j.ica.2018.03.014,2018
10.1016/j.ica.2018.03.021,2018
10.1016/j.ica.2018.04.005,2018
10.1016/j.ica.2018.04.014,2018
10.1016/j.ica.2018.04.049,2018
10.1016/j.ica.2018.05.002,2018
10.1016/j.ica.2018.05.008,2018
10.1016/j.ica.2018.05.011,2018
10.1016/j.ica.2018.05.023,2018
10.1016/j.ica.2018.05.024,2018
10.1016/j.ica.2018.05.028,2018
10.1016/j.ica.2018.05.029,2018
10.1016/j.ica.2018.06.027,2018
10.1016/j.ica.2018.06.034,2018
10.1016/j.ica.2018.06.038,2018
10.1016/j.ica.2018.06.044,2018
10.1016/j.ica.2018.07.016,2018
10.1016/j.ica.2018.07.017,2018
10.1016/j.ica.2018.07.030,2018
10.1016/j.ica.2018.07.031,2018
10.1016/j.ica.2018.07.047,2018
10.1016/j.ica.2018.07.054,2018
10.1016/j.ica.2018.08.018,2018
10.1016/j.ica.2018.08.019,2018
10.1016/j.ica.2018.09.025,2019
10.1016/j.ica.2018.09.076,2019
10.1016/j.ica.2018.09.083,2019
10.1016/j.ica.2018.10.002,2019
10.1016/j.ica.2018.10.014,2019
10.1016/j.ica.2018.10.029,2019
10.1016/j.ica.2018.10.042,2019
10.1016/j.ica.2018.10.052,2019
10.1016/j.ica.2018.10.055,2019
10.1016/j.ica.2018.11.028,2019
10.1016/j.ica.2018.12.037,2019
10.1016/j.ica.2018.12.039,2019
10.1016/j.ica.2018.12.054,2019
10.1016/j.ica.2019.01.004,2019
