DOI,Classification
10.1016/j.inoche.2019.01.034,Crystal engineering
10.1016/j.inoche.2019.02.024,Chemical synthesis
10.1016/j.inoche.2019.02.027,Chemical synthesis
10.1016/j.inoche.2019.02.033,Functional materials
10.1016/j.inoche.2019.02.037,Crystal engineering
10.1016/j.inoche.2019.03.036,Functional materials
10.1016/j.inoche.2019.04.021,Functional materials
10.1016/j.inoche.2019.05.008,Crystal engineering
10.1016/j.inoche.2019.05.013,Functional materials
10.1016/j.inoche.2019.05.038,Crystal engineering
10.1016/j.inoche.2019.06.003,Crystal engineering
10.1016/j.inoche.2019.107448,Functional materials
10.1016/j.inoche.2019.107474,Functional materials
10.1016/j.inoche.2019.107488,Crystal engineering
10.1016/j.inoche.2019.107512,Functional materials
10.1016/j.inoche.2019.107536,Functional materials
10.1016/j.inoche.2019.107543,Functional materials
10.1016/j.inoche.2019.107566,Functional materials
10.1016/j.inoche.2019.107575,Functional materials
10.1016/j.inoche.2019.107597,Crystal engineering
10.1016/j.inoche.2019.107624,Crystal engineering
10.1016/j.inoche.2019.107627,Functional materials
10.1016/j.inoche.2019.107641,Crystal engineering
10.1016/j.inoche.2019.107667,Crystal engineering
10.1016/j.inoche.2019.107671,Functional materials
10.1016/j.inoche.2019.107713,Crystal engineering
10.1016/j.inoche.2019.107726,Crystal engineering
10.1016/j.inoche.2019.107734,Crystal engineering
10.1016/j.inoche.2020.107766,Functional materials
10.1016/j.inoche.2020.107773,Functional materials
10.1016/j.inoche.2020.107797,Functional materials
10.1016/j.inoche.2020.107805,Functional materials
10.1016/j.inoche.2020.107812,Functional materials
10.1016/j.inoche.2020.107813,Chemical synthesis
10.1016/j.inoche.2020.107864,Crystal engineering
10.1016/j.inoche.2020.107887,Crystal engineering
10.1016/j.inoche.2020.107912,Crystal engineering
10.1016/j.inoche.2020.107949,Functional materials
10.1016/j.inoche.2020.107975,Functional materials
10.1016/j.inoche.2020.108011,Functional materials
10.1016/j.inoche.2020.108030,Functional materials
10.1016/j.inoche.2020.108032,Functional materials
10.1016/j.inoche.2020.108076,Crystal engineering
10.1016/j.inoche.2020.108084,Functional materials
10.1016/j.inoche.2020.108123,Functional materials
10.1016/j.inoche.2020.108197,Theory & modeling
10.1016/j.inoche.2020.108233,Functional materials
10.1016/j.inoche.2020.108235,Functional materials
10.1016/j.inoche.2020.108279,Theory & modeling
10.1016/j.inoche.2020.108293,Functional materials
10.1016/j.inoche.2020.108368,Functional materials
10.1016/j.inoche.2021.108449,Crystal engineering
10.1016/j.inoche.2021.108458,Functional materials
10.1016/j.inoche.2021.108502,Functional materials
10.1016/j.inoche.2021.108550,Functional materials
10.1016/j.inoche.2021.108584,Crystal engineering
10.1016/j.inoche.2021.108604,Crystal engineering
10.1016/j.inoche.2021.108605,Functional materials
10.1016/j.inoche.2021.108609,Theory & modeling
10.1016/j.inoche.2021.108613,Crystal engineering
10.1016/j.inoche.2021.108644,Functional materials
10.1016/j.inoche.2021.108657,Functional materials
10.1016/j.inoche.2021.108682,Crystal engineering
10.1016/j.inoche.2021.108693,Functional materials
10.1016/j.inoche.2021.108782,Functional materials
10.1016/j.inoche.2021.108794,Chemical synthesis
10.1016/j.inoche.2021.108819,Functional materials
10.1016/j.inoche.2021.108828,Functional materials
10.1016/j.inoche.2021.108870,Chemical synthesis
10.1016/j.inoche.2021.108896,Crystal engineering
10.1016/j.inoche.2021.108928,Functional materials
10.1016/j.inoche.2021.108944,Functional materials
10.1016/j.inoche.2021.108997,Functional materials
10.1016/j.inoche.2021.109017,Functional materials
10.1016/j.inoche.2021.109078,Chemical synthesis
10.1016/j.inoche.2021.109126,Functional materials
10.1016/j.inoche.2021.109141,Functional materials
10.1016/j.inoche.2022.109251,Functional materials
10.1016/j.inoche.2022.109405,Functional materials
10.1016/j.inoche.2022.109431,Crystal engineering
10.1016/j.inoche.2022.109534,Crystal engineering
10.1016/j.inoche.2022.109696,Chemical synthesis
10.1016/j.inoche.2022.110070,Crystal engineering
10.1016/j.inoche.2022.110078,Crystal engineering
10.1016/j.inoche.2022.110109,Crystal engineering
10.1016/j.inoche.2022.110137,Chemical synthesis
10.1016/j.inoche.2022.110145,Theory & modeling
10.1016/j.inoche.2022.110196,Crystal engineering
10.1016/j.inoche.2022.110280,Crystal engineering
10.1016/j.inoche.2022.110348,Functional materials
10.1016/j.inoche.2023.110455,Functional materials
10.1016/j.inoche.2023.110477,Crystal engineering
10.1016/j.inoche.2023.110542,Crystal engineering
10.1016/j.inoche.2023.110748,Chemical synthesis
10.1016/j.inoche.2023.110783,Functional materials
10.1016/j.inoche.2023.110920,Functional materials
10.1016/j.inoche.2023.111056,Functional materials
10.1016/j.inoche.2023.111095,Functional materials
10.1016/j.inoche.2023.111108,Functional materials
10.1016/j.inoche.2023.111252,Functional materials
10.1016/j.inoche.2023.111258,Functional materials
10.1016/j.inoche.2023.111290,Crystal engineering
10.1016/j.inoche.2023.111340,Functional materials
10.1016/j.inoche.2023.111394,Functional materials
10.1016/j.inoche.2023.111403,Theory & modeling
10.1016/j.inoche.2023.111436,Theory & modeling
10.1016/j.inoche.2023.111476,Functional materials
10.1016/j.inoche.2023.111561,Theory & modeling
10.1016/j.inoche.2023.111612,Functional materials
10.1016/j.inoche.2023.111634,Functional materials
10.1016/j.inoche.2023.111679,Functional materials
10.1016/j.inoche.2023.111819,Functional materials
10.1016/j.inoche.2023.111897,Theory & modeling
10.1016/j.inoche.2023.111982,Functional materials
10.1016/j.inoche.2024.112172,Functional materials
10.1016/j.inoche.2024.112574,Functional materials
10.1016/j.inoche.2024.112581,Crystal engineering
10.1016/j.inoche.2024.112741,Functional materials
10.1016/j.inoche.2024.112757,Functional materials
10.1016/j.inoche.2024.112781,Functional materials
10.1016/j.inoche.2024.112813,Functional materials
10.1016/j.inoche.2024.112915,Functional materials
10.1016/j.inoche.2024.112927,Theory & modeling
10.1016/j.inoche.2024.112951,Functional materials
10.1016/j.inoche.2024.113150,Theory & modeling
10.1016/j.inoche.2024.113174,Functional materials
10.1016/j.inoche.2024.113262,Theory & modeling
10.1016/j.inoche.2024.113297,Functional materials
10.1016/j.inoche.2024.113333,Theory & modeling
10.1016/j.inoche.2024.113351,Functional materials
10.1016/j.inoche.2024.113475,Functional materials
10.1016/j.inoche.2024.113582,Crystal engineering
10.1016/j.inoche.2024.113589,Functional materials
10.1016/j.inoche.2024.113590,Functional materials
10.1016/j.inoche.2024.113686,Functional materials
10.1016/j.inoche.2024.113833,Functional materials
10.1016/j.inoche.2025.113978,Functional materials
10.1016/j.inoche.2025.114003,Chemical synthesis
10.1016/j.inoche.2025.114026,Theory & modeling
10.1016/j.inoche.2025.114105,Chemical synthesis
10.1016/j.inoche.2025.114194,Functional materials
10.1016/j.inoche.2025.114321,Functional materials
10.1016/j.inoche.2025.114429,Functional materials
10.1016/j.inoche.2025.114444,Functional materials
10.1016/j.inoche.2025.114661,Crystal engineering
10.1016/j.inoche2014.09.033,Functional materials
10.1016/j.jaap.2015.08.018,Functional materials
10.1016/j.jallcom.2007.04.198,Crystal engineering
10.1016/j.jallcom.2007.04.199,Crystal engineering
10.1016/j.jallcom.2009.11.203,Functional materials
10.1016/j.jallcom.2012.06.030,Chemical synthesis
10.1016/j.jallcom.2013.09.195,Functional materials
10.1016/j.jallcom.2016.11.220,Chemical synthesis
10.1016/j.jallcom.2017.01.260,Functional materials
10.1016/j.jallcom.2017.07.095,Functional materials
10.1016/j.jallcom.2018.12.157,Functional materials
10.1016/j.jallcom.2019.03.186,Functional materials
10.1016/j.jallcom.2020.156578,Functional materials
10.1016/j.jallcom.2021.160353,Crystal engineering
10.1016/j.jallcom.2021.161494,Functional materials
10.1016/j.jallcom.2021.161860,Chemical synthesis
10.1016/j.jallcom.2021.163178,Functional materials
10.1016/j.jallcom.2022.165900,Functional materials
10.1016/j.jallcom.2022.165939,Functional materials
10.1016/j.jallcom.2022.167647,Functional materials
10.1016/j.jallcom.2023.169138,Functional materials
10.1016/j.jallcom.2023.169747,Crystal engineering
10.1016/j.jallcom.2023.170289,Functional materials
10.1016/j.jallcom.2023.170309,Functional materials
10.1016/j.jallcom.2023.171811,Functional materials
10.1016/j.jallcom.2023.172897,Theory & modeling
10.1016/j.jallcom.2025.178701,Functional materials
10.1016/j.jallcom.2025.181123,Functional materials
10.1016/j.jcat.2008.05.021,Functional materials
10.1016/j.jcat.2009.04.021,Chemical synthesis
10.1016/j.jcat.2009.11.011,Chemical synthesis
10.1016/j.jcat.2011.04.004,Functional materials
10.1016/j.jcat.2011.10.001,Functional materials
10.1016/j.jcat.2012.01.013,Functional materials
10.1016/j.jcat.2012.05.003,Functional materials
10.1016/j.jcat.2012.11.029,Functional materials
10.1016/j.jcat.2012.12.004,Functional materials
10.1016/j.jcat.2013.08.001,Functional materials
10.1016/j.jcat.2014.05.019,Functional materials
10.1016/j.jcat.2014.09.010,Functional materials
10.1016/j.jcat.2015.10.026,Functional materials
10.1016/j.jcat.2015.11.012,Chemical synthesis
10.1016/j.jcat.2016.01.030,Functional materials
10.1016/j.jcat.2016.02.013,Functional materials
10.1016/j.jcat.2016.07.021,Functional materials
10.1016/j.jcat.2017.02.013,Chemical synthesis
10.1016/j.jcat.2017.08.009,Chemical synthesis
10.1016/j.jcat.2017.08.012,Functional materials
10.1016/j.jcat.2018.02.033,Functional materials
10.1016/j.jcat.2018.06.013,Functional materials
10.1016/j.jcat.2018.08.009,Functional materials
10.1016/j.jcat.2018.10.035,Chemical synthesis
10.1016/j.jcat.2018.11.031,Functional materials
10.1016/j.jcat.2019.02.011,Functional materials
10.1016/j.jcat.2019.03.008,Chemical synthesis
10.1016/j.jcat.2019.04.023,Functional materials
10.1016/j.jcat.2019.06.024,Functional materials
10.1016/j.jcat.2019.08.038,Functional materials
10.1016/j.jcat.2019.11.031,Functional materials
10.1016/j.jcat.2020.04.013,Functional materials
10.1016/j.jcat.2020.05.010,Functional materials
10.1016/j.jcat.2020.05.033,Functional materials
10.1016/j.jcat.2020.09.024,Chemical synthesis
10.1016/j.jcat.2020.09.037,Chemical synthesis
10.1016/j.jcat.2021.08.008,Functional materials
10.1016/j.jcat.2022.01.010,Functional materials
10.1016/j.jcat.2022.01.031,Chemical synthesis
10.1016/j.jcat.2022.03.009,Functional materials
10.1016/j.jcat.2022.09.021,Functional materials
10.1016/j.jcat.2022.10.021,Chemical synthesis
10.1016/j.jcat.2023.03.002,Chemical synthesis
10.1016/j.jcat.2023.115181,Functional materials
10.1016/j.jcat.2023.115249,Functional materials
10.1016/j.jcat.2024.115308,Functional materials
10.1016/j.jcat.2024.115395,Functional materials
10.1016/j.jcat.2024.115516,Functional materials
10.1016/j.jcat.2024.115571,Theory & modeling
10.1016/j.jcat.2024.115589,Chemical synthesis
10.1016/j.jcat.2024.115641,Theory & modeling
10.1016/j.jcat.2025.116309,Functional materials
10.1016/j.jcis.2011.09.060,Functional materials
10.1016/j.jcis.2014.03.014,Crystal engineering
10.1016/j.jcis.2014.03.066,Functional materials
10.1016/j.jcis.2014.05.021,Functional materials
10.1016/j.jcis.2015.01.027,Functional materials
10.1016/j.jcis.2015.05.005,Functional materials
10.1016/j.jcis.2015.09.015,Functional materials
10.1016/j.jcis.2015.11.036,Functional materials
10.1016/j.jcis.2016.05.057,Functional materials
10.1016/j.jcis.2016.09.068,Functional materials
10.1016/j.jcis.2016.11.081,Chemical synthesis
10.1016/j.jcis.2016.11.100,Functional materials
10.1016/j.jcis.2017.01.060,Functional materials
10.1016/j.jcis.2017.01.091,Functional materials
10.1016/j.jcis.2017.03.101,Functional materials
10.1016/j.jcis.2017.07.022,Functional materials
10.1016/j.jcis.2017.11.034,Functional materials
10.1016/j.jcis.2017.12.014,Functional materials
10.1016/j.jcis.2018.01.070,Functional materials
10.1016/j.jcis.2018.01.112,Functional materials
10.1016/j.jcis.2018.02.003,Functional materials
10.1016/j.jcis.2018.04.063,Functional materials
10.1016/j.jcis.2018.04.095,Functional materials
10.1016/j.jcis.2018.05.008,Functional materials
10.1016/j.jcis.2018.07.140,Functional materials
10.1016/j.jcis.2018.08.029,Functional materials
10.1016/j.jcis.2018.09.086,Functional materials
10.1016/j.jcis.2019.06.064,Functional materials
10.1016/j.jcis.2019.08.051,Functional materials
10.1016/j.jcis.2019.09.019,Functional materials
10.1016/j.jcis.2019.10.093,Chemical synthesis
10.1016/j.jcis.2019.11.056,Functional materials
10.1016/j.jcis.2020.03.076,Functional materials
10.1016/j.jcis.2020.05.080,Chemical synthesis
10.1016/j.jcis.2020.12.070,Chemical synthesis
10.1016/j.jcis.2021.04.134,Functional materials
10.1016/j.jcis.2021.05.136,Functional materials
10.1016/j.jcis.2021.05.169,Functional materials
10.1016/j.jcis.2021.09.031,Chemical synthesis
10.1016/j.jcis.2021.10.145,Functional materials
10.1016/j.jcis.2021.12.163,Functional materials
10.1016/j.jcis.2022.03.038,Functional materials
10.1016/j.jcis.2022.03.066,Chemical synthesis
10.1016/j.jcis.2022.04.078,Functional materials
10.1016/j.jcis.2022.04.095,Functional materials
10.1016/j.jcis.2022.05.026,Theory & modeling
10.1016/j.jcis.2022.05.082,Chemical synthesis
10.1016/j.jcis.2022.07.059,Functional materials
10.1016/j.jcis.2022.07.185,Functional materials
10.1016/j.jcis.2022.08.073,Functional materials
10.1016/j.jcis.2022.08.133,Functional materials
10.1016/j.jcis.2022.09.004,Chemical synthesis
10.1016/j.jcis.2023.01.143,Crystal engineering
10.1016/j.jcis.2023.02.035,Functional materials
10.1016/j.jcis.2023.05.039,Functional materials
10.1016/j.jcis.2023.05.069,Functional materials
10.1016/j.jcis.2023.06.136,Chemical synthesis
10.1016/j.jcis.2023.08.006,Functional materials
10.1016/j.jcis.2023.09.010,Functional materials
10.1016/j.jcis.2023.12.110,Functional materials
10.1016/j.jcis.2024.01.012,Functional materials
10.1016/j.jcis.2024.02.048,Theory & modeling
10.1016/j.jcis.2024.02.067,Functional materials
10.1016/j.jcis.2024.03.031,Functional materials
10.1016/j.jcis.2024.03.181,Functional materials
10.1016/j.jcis.2024.05.104,Functional materials
10.1016/j.jcis.2024.05.125,Chemical synthesis
10.1016/j.jcis.2024.05.211,Functional materials
10.1016/j.jcis.2024.06.125,Functional materials
10.1016/j.jcis.2024.06.165,Functional materials
10.1016/j.jcis.2024.10.169,Functional materials
10.1016/j.jcis.2024.11.019,Functional materials
10.1016/j.jcis.2025.02.088,Functional materials
10.1016/j.jcis.2025.02.096,Functional materials
10.1016/j.jcou.2015.01.003,Chemical synthesis
10.1016/j.jcou.2016.04.008,Functional materials
10.1016/j.jcou.2016.10.004,Chemical synthesis
10.1016/j.jcou.2016.11.005,Functional materials
10.1016/j.jcou.2016.12.001,Functional materials
10.1016/j.jcou.2017.01.019,Functional materials
10.1016/j.jcou.2017.03.004,Functional materials
10.1016/j.jcou.2017.05.026,Functional materials
10.1016/j.jcou.2017.09.007,Functional materials
10.1016/j.jcou.2017.10.015,Functional materials
10.1016/j.jcou.2017.11.004,Functional materials
10.1016/j.jcou.2018.02.004,Crystal engineering
10.1016/j.jcou.2018.03.006,Chemical synthesis
10.1016/j.jcou.2018.08.002,Functional materials
10.1016/j.jcou.2018.10.015,Functional materials
10.1016/j.jcou.2019.09.001,Functional materials
10.1016/j.jcou.2019.09.005,Chemical synthesis
10.1016/j.jcou.2019.10.021,Chemical synthesis
10.1016/j.jcou.2019.12.008,Functional materials
10.1016/j.jcou.2020.01.004,Chemical synthesis
10.1016/j.jcou.2020.101173,Functional materials
10.1016/j.jcou.2020.101177,Functional materials
10.1016/j.jcou.2020.101253,Functional materials
10.1016/j.jcou.2020.101297,Theory & modeling
10.1016/j.jcou.2020.101301,Functional materials
10.1016/j.jcou.2020.101324,Chemical synthesis
10.1016/j.jcou.2021.101076,Functional materials
10.1016/j.jcou.2021.101575,Functional materials
10.1016/j.jcou.2021.101603,Functional materials
10.1016/j.jcou.2021.101718,Chemical synthesis
10.1016/j.jcou.2022.101884,Chemical synthesis
10.1016/j.jcou.2022.101905,Functional materials
10.1016/j.jcou.2022.101936,Chemical synthesis
10.1016/j.jcou.2022.101951,Theory & modeling
10.1016/j.jcou.2022.101960,Chemical synthesis
10.1016/j.jcou.2022.101961,Functional materials
10.1016/j.jcou.2022.102061,Functional materials
10.1016/j.jcou.2022.102166,Chemical synthesis
10.1016/j.jcou.2022.102235,Functional materials
10.1016/j.jcou.2022.102262,Functional materials
10.1016/j.jcou.2022.102304,Functional materials
10.1016/j.jcou.2022.102352,Functional materials
10.1016/j.jcou.2023.102633,Chemical synthesis
10.1016/j.jcou.2023.102636,Functional materials
10.1016/j.jcou.2023.102664,Functional materials
10.1016/j.jcou.2024.102933,Crystal engineering
10.1016/j.jcou.2025.103025,Functional materials
10.1016/j.jcou.2025.103035,Theory & modeling
10.1016/j.jcrysgro.2004.11.264,Crystal engineering
10.1016/j.jcrysgro.2016.07.004,Chemical synthesis
10.1016/j.jcrysgro.2023.127348,Crystal engineering
10.1016/j.jct.2012.06.029,Crystal engineering
10.1016/j.jechem.2016.06.003,Chemical synthesis
10.1016/j.jechem.2017.07.022,Functional materials
10.1016/j.jechem.2018.02.017,Functional materials
10.1016/j.jechem.2019.07.014,Functional materials
10.1016/j.jelechem.2017.11.001,Chemical synthesis
10.1016/j.jelechem.2018.04.015,Functional materials
10.1016/j.jelechem.2018.06.006,Functional materials
10.1016/j.jelechem.2020.113939,Functional materials
10.1016/j.jelechem.2022.116124,Functional materials
10.1016/j.jelechem.2022.116306,Functional materials
10.1016/j.jelechem.2024.118445,Functional materials
10.1016/j.jfca.2019.103352,Functional materials
10.1016/j.jfluchem.2013.02.016,Crystal engineering
10.1016/j.jfluchem.2014.08.002,Crystal engineering
10.1016/j.jfluchem.2016.01.006,Chemical synthesis
10.1016/j.jfluchem.2016.07.003,Chemical synthesis
10.1016/j.jfluchem.2017.12.005,Crystal engineering
10.1016/j.jics.2024.101125,Functional materials
10.1016/j.jics.2024.101166,Theory & modeling
10.1016/j.jics.2024.101335,Functional materials
10.1016/j.jics.2025.101756,Functional materials
10.1016/j.jiec.2013.01.026,Functional materials
10.1016/j.jiec.2016.04.014,Functional materials
10.1016/j.jiec.2016.08.025,Functional materials
10.1016/j.jiec.2017.04.022,Functional materials
10.1016/j.jiec.2017.05.020,Functional materials
10.1016/j.jiec.2017.05.028,Chemical synthesis
10.1016/j.jiec.2018.03.006,Chemical synthesis
10.1016/j.jiec.2018.07.003,Chemical synthesis
10.1016/j.jiec.2018.11.040,Chemical synthesis
10.1016/j.jiec.2019.07.038,Functional materials
10.1016/j.jiec.2019.08.013,Functional materials
10.1016/j.jiec.2020.03.001,Functional materials
10.1016/j.jiec.2020.04.015,Functional materials
10.1016/j.jiec.2020.04.031,Functional materials
10.1016/j.jiec.2020.05.013,Functional materials
10.1016/j.jiec.2020.05.016,Functional materials
10.1016/j.jiec.2020.07.009,Functional materials
10.1016/j.jiec.2021.08.004,Functional materials
10.1016/j.jiec.2021.12.036,Functional materials
10.1016/j.jiec.2022.04.016,Functional materials
10.1016/j.jiec.2022.05.021,Functional materials
10.1016/j.jiec.2023.03.027,Functional materials
10.1016/j.jiec.2023.06.032,Functional materials
10.1016/j.jiec.2023.08.037,Functional materials
10.1016/j.jiec.2023.09.013,Functional materials
10.1016/j.jiec.2023.12.021,Functional materials
10.1016/j.jiec.2024.03.037,Functional materials
10.1016/j.jiec.2024.04.031,Functional materials
10.1016/j.jiec.2024.05.019,Functional materials
10.1016/j.jiec.2025.01.020,Theory & modeling
10.1016/j.jinorgbio.2019.02.014,Functional materials
10.1016/j.jinorgbio.2019.110818,Functional materials
10.1016/j.jinorgbio.2019.110977,Functional materials
10.1016/j.jmat.2020.10.008,Functional materials
10.1016/j.jmgm.2022.108275,Theory & modeling
10.1016/j.jmmm.2017.08.013,Chemical synthesis
10.1016/j.jmrt.2020.05.015,Crystal engineering
10.1016/j.jmrt.2022.03.028,Functional materials
10.1016/j.jmst.2024.03.066,Chemical synthesis
10.1016/j.jmst.2024.11.036,Functional materials
10.1016/j.jnoncrysol.2019.119665,Chemical synthesis
10.1016/j.jorganchem.2006.07.048,Crystal engineering
10.1016/j.jorganchem.2007.06.060,Chemical synthesis
10.1016/j.jorganchem.2007.07.001,Functional materials
10.1016/j.jorganchem.2008.05.031,Functional materials
10.1016/j.jorganchem.2008.10.008,Chemical synthesis
10.1016/j.jorganchem.2009.01.037,Chemical synthesis
10.1016/j.jorganchem.2009.02.034,Functional materials
10.1016/j.jorganchem.2009.03.008,Crystal engineering
10.1016/j.jorganchem.2010.07.010,Crystal engineering
10.1016/j.jorganchem.2010.12.009,Crystal engineering
10.1016/j.jorganchem.2011.12.017,Crystal engineering
10.1016/j.jorganchem.2012.02.029,Crystal engineering
10.1016/j.jorganchem.2012.08.008,Crystal engineering
10.1016/j.jorganchem.2013.04.040,Crystal engineering
10.1016/j.jorganchem.2014.10.006,Crystal engineering
10.1016/j.jorganchem.2017.07.030,Chemical synthesis
10.1016/j.jorganchem.2017.08.013,Chemical synthesis
10.1016/j.jorganchem.2017.10.011,Functional materials
10.1016/j.jorganchem.2017.11.027,Chemical synthesis
10.1016/j.jorganchem.2018.01.029,Chemical synthesis
10.1016/j.jorganchem.2018.04.032,Crystal engineering
10.1016/j.jorganchem.2018.11.003,Crystal engineering
10.1016/j.jorganchem.2019.07.018,Chemical synthesis
10.1016/j.jorganchem.2019.120935,Chemical synthesis
10.1016/j.jorganchem.2020.121171,Chemical synthesis
10.1016/j.jorganchem.2021.122156,Functional materials
10.1016/j.jorganchem.2021.122158,Functional materials
10.1016/j.jorganchem.2021.122221,Functional materials
10.1016/j.jorganchem.2022.122497,Chemical synthesis
10.1016/j.jorganchem.2023.122646,Functional materials
10.1016/j.jorganchem.2023.122712,Chemical synthesis
10.1016/j.jorganchem.2023.122778,Functional materials
10.1016/j.jorganchem.2023.122873,Functional materials
10.1016/j.jorganchem.2023.122903,Chemical synthesis
10.1016/j.jorganchem.2023.122922,Functional materials
10.1016/j.jorganchem.2024.123074,Functional materials
10.1016/j.jorganchem.2024.123169,Functional materials
10.1016/j.jorganchem.2024.123403,Functional materials
10.1016/j.jorganchem.2025.123542,Functional materials
10.1016/j.jorganchem.2025.123563,Functional materials
10.1016/j.joule.2017.07.018,Functional materials
10.1016/j.jpba.2022.115026,Functional materials
10.1016/j.jpcs.2006.11.001,Crystal engineering
10.1016/j.jpcs.2017.07.006,Chemical synthesis
10.1016/j.jpcs.2020.109817,Functional materials
10.1016/j.jpcs.2023.111699,Chemical synthesis
10.1016/j.jpcs.2024.112452,Functional materials
10.1016/j.jphotochem.2015.10.023,Crystal engineering
10.1016/j.jphotochem.2017.04.025,Theory & modeling
10.1016/j.jphotochem.2017.09.069,Functional materials
10.1016/j.jphotochem.2017.10.041,Crystal engineering
10.1016/j.jphotochem.2018.06.032,Functional materials
10.1016/j.jphotochem.2018.06.044,Functional materials
10.1016/j.jphotochem.2018.10.042,Functional materials
10.1016/j.jphotochem.2019.111986,Functional materials
10.1016/j.jphotochem.2019.112240,Functional materials
10.1016/j.jphotochem.2021.113572,Functional materials
10.1016/j.jphotochem.2022.113960,Functional materials
10.1016/j.jphotochem.2023.114776,Functional materials
10.1016/j.jphotochem.2023.115263,Functional materials
10.1016/j.jphotochem.2023.115306,Functional materials
10.1016/j.jphotochem.2023.115333,Functional materials
10.1016/j.jphotochem.2024.115827,Functional materials
10.1016/j.jphotochem.2024.115842,Functional materials
10.1016/j.jpowsour.2017.11.089,Functional materials
10.1016/j.jre.2019.09.001,Functional materials
10.1016/j.jre.2020.01.012,Theory & modeling
10.1016/j.jre.2021.01.019,Crystal engineering
10.1016/j.jre.2022.01.012,Functional materials
10.1016/j.jre.2022.02.019,Functional materials
10.1016/j.jre.2023.02.016,Functional materials
10.1016/j.jscs.2017.06.002,Functional materials
10.1016/j.jscs.2020.09.006,Functional materials
10.1016/j.jscs.2024.101817,Chemical synthesis
10.1016/j.jscs.2024.101856,Functional materials
10.1016/j.jssc.2003.09.005,Crystal engineering
10.1016/j.jssc.2004.05.001,Crystal engineering
10.1016/j.jssc.2004.05.022,Crystal engineering
10.1016/j.jssc.2004.12.004,Crystal engineering
10.1016/j.jssc.2005.02.025,Crystal engineering
10.1016/j.jssc.2005.06.013,Crystal engineering
10.1016/j.jssc.2005.07.003,Crystal engineering
10.1016/j.jssc.2005.08.013,Crystal engineering
10.1016/j.jssc.2005.08.014,Crystal engineering
10.1016/j.jssc.2005.12.012,Crystal engineering
10.1016/j.jssc.2006.04.048,Crystal engineering
10.1016/j.jssc.2006.07.040,Crystal engineering
10.1016/j.jssc.2006.08.001,Crystal engineering
10.1016/j.jssc.2007.03.019,Crystal engineering
10.1016/j.jssc.2007.04.010,Functional materials
10.1016/j.jssc.2007.12.039,Crystal engineering
10.1016/j.jssc.2008.03.036,Crystal engineering
10.1016/j.jssc.2008.04.045,Crystal engineering
10.1016/j.jssc.2008.05.007,Functional materials
10.1016/j.jssc.2008.05.011,Crystal engineering
10.1016/j.jssc.2008.05.039,Crystal engineering
10.1016/j.jssc.2008.05.045,Crystal engineering
10.1016/j.jssc.2008.08.006,Crystal engineering
10.1016/j.jssc.2008.09.018,Functional materials
10.1016/j.jssc.2008.11.016,Crystal engineering
10.1016/j.jssc.2008.11.018,Crystal engineering
10.1016/j.jssc.2008.11.019,Crystal engineering
10.1016/j.jssc.2008.11.031,Crystal engineering
10.1016/j.jssc.2008.12.022,Crystal engineering
10.1016/j.jssc.2009.03.010,Crystal engineering
10.1016/j.jssc.2009.03.012,Crystal engineering
10.1016/j.jssc.2009.03.019,Crystal engineering
10.1016/j.jssc.2009.04.034,Crystal engineering
10.1016/j.jssc.2009.06.007,Chemical synthesis
10.1016/j.jssc.2009.06.041,Functional materials
10.1016/j.jssc.2009.06.042,Crystal engineering
10.1016/j.jssc.2009.07.019,Chemical synthesis
10.1016/j.jssc.2009.07.048,Functional materials
10.1016/j.jssc.2009.07.059,Crystal engineering
10.1016/j.jssc.2009.07.062,Crystal engineering
10.1016/j.jssc.2009.08.018,Crystal engineering
10.1016/j.jssc.2009.08.024,Chemical synthesis
10.1016/j.jssc.2009.09.027,Crystal engineering
10.1016/j.jssc.2009.10.026,Crystal engineering
10.1016/j.jssc.2009.11.003,Crystal engineering
10.1016/j.jssc.2010.01.027,Crystal engineering
10.1016/j.jssc.2010.03.006,Crystal engineering
10.1016/j.jssc.2010.03.034,Crystal engineering
10.1016/j.jssc.2010.07.036,Crystal engineering
10.1016/j.jssc.2010.09.034,Crystal engineering
10.1016/j.jssc.2010.09.038,Crystal engineering
10.1016/j.jssc.2010.10.006,Functional materials
10.1016/j.jssc.2010.10.011,Crystal engineering
10.1016/j.jssc.2010.11.012,Crystal engineering
10.1016/j.jssc.2011.01.030,Crystal engineering
10.1016/j.jssc.2011.03.047,Crystal engineering
10.1016/j.jssc.2011.03.050,Crystal engineering
10.1016/j.jssc.2011.04.002,Crystal engineering
10.1016/j.jssc.2011.06.023,Functional materials
10.1016/j.jssc.2011.09.009,Chemical synthesis
10.1016/j.jssc.2011.11.032,Functional materials
10.1016/j.jssc.2011.12.007,Crystal engineering
10.1016/j.jssc.2012.01.038,Crystal engineering
10.1016/j.jssc.2012.02.049,Crystal engineering
10.1016/j.jssc.2012.03.002,Crystal engineering
10.1016/j.jssc.2012.03.009,Functional materials
10.1016/j.jssc.2012.04.031,Theory & modeling
10.1016/j.jssc.2012.06.011,Crystal engineering
10.1016/j.jssc.2012.06.016,Crystal engineering
10.1016/j.jssc.2012.06.018,Crystal engineering
10.1016/j.jssc.2012.07.050,Crystal engineering
10.1016/j.jssc.2012.08.036,Crystal engineering
10.1016/j.jssc.2012.08.044,Crystal engineering
10.1016/j.jssc.2012.08.055,Crystal engineering
