doi,main_pdf,si_pdf,raw_output,parsed_json,article_trial_or_failure,article_trial_or_failure_notes,mof_name,crystal_code,metal_1,metal_1_abbr,metal_1_amount_text,metal_1_amount_value,metal_1_amount_unit,metal_2,metal_2_abbr,metal_2_amount_text,metal_2_amount_value,metal_2_amount_unit,metal_3,metal_3_abbr,metal_3_amount_text,metal_3_amount_value,metal_3_amount_unit,linker_1,linker_1_abbr,linker_1_amount_text,linker_1_amount_value,linker_1_amount_unit,linker_2,linker_2_abbr,linker_2_amount_text,linker_2_amount_value,linker_2_amount_unit,linker_3,linker_3_abbr,linker_3_amount_text,linker_3_amount_value,linker_3_amount_unit,modulator_1,modulator_1_abbr,modulator_1_amount_text,modulator_1_amount_value,modulator_1_amount_unit,modulator_2,modulator_2_abbr,modulator_2_amount_text,modulator_2_amount_value,modulator_2_amount_unit,solvent_main,solvent_main_abbr,solvent_main_amount_text,solvent_main_ml,solvent_secondary,solvent_secondary_abbr,solvent_secondary_amount_text,solvent_secondary_ml,temperature_c,temperature_c_text,time_h,time_text,vessel_type,stirring,washing_solvent,washing_cycles,activation_text,activation_temp_c,activation_time_h,crystal_morphology,yield_percent,crystal_size,topology_code,metal_cluster_connectivity,unit_cell_short,pore_diameter_A,BET_surface_area_m2g,air_stable,water_stable,tga_decomposition_temp_c,applications,reference,status,error
10.1039/d4ce00008k,downloaded\10.1039_d4ce00008k.pdf,SI downloaded\10.1039_d4ce00008k_SI.pdf,mof_json_store\10.1039_d4ce00008k\raw_output.json,mof_json_store\10.1039_d4ce00008k\synthesis_001.json,no,,[Cu(L1)]n,2290231,Co(CH3COO)2·4H2O,,"37 mg, 0.10 mmol",0.1,mmol,nan,,,,,nan,,,,,(E)-2-((5-fluoro-2-hydroxybenzylidene)amino)acetic acid,H2L1,"21.9 mg, 0.10 mmol",0.1,mmol,,,,,,,,,,,,,,,,,,,,,methanol,MeOH,3 mL (ligand solution) + 1 mL (metal solution),,ethanol,EtOH,2 mL (ligand solution),2.0,25,RT,,stirred 30 min at RT; filtrate slowly evaporated at RT for 5 days,,stirred 30 min; then static (slow evaporation),,,,,,small green rod-shaped crystals,63.0,0.46 × 0.26 × 0.22 mm,,Cu2 dimer nodes linked by carboxylates into MOF-74-like hexagonal channels,"a=27.0492(12), b=27.0492(12), c=6.8567(18) Å, α=90°, β=90°, γ=120°, R3",,,not_reported,no,,,10.1039/d4ce00008k,ok,
10.1039/d4ce00008k,downloaded\10.1039_d4ce00008k.pdf,SI downloaded\10.1039_d4ce00008k_SI.pdf,mof_json_store\10.1039_d4ce00008k\raw_output.json,mof_json_store\10.1039_d4ce00008k\synthesis_002.json,no,,[Cu(L3)]n,2290232,Co(CH3COO)2·4H2O,,"37 mg, 0.10 mmol",0.1,mmol,nan,,,,,nan,,,,,(E)-2-((5-bromo-2-hydroxybenzylidene)amino)acetic acid,H2L3,0.10 mmol (mass not specified),0.1,mmol,,,,,,,,,,,,,,,,,,,,,methanol,MeOH,,,ethanol,EtOH,,,25,RT,,stirred 30 min at RT; filtrate slowly evaporated at RT for 7 days,,stirred 30 min; then static (slow evaporation),,,,,,small green rod-shaped crystals,58.0,0.36 × 0.25 × 0.23 mm,,Cu2 dimer nodes linked by carboxylates into MOF-74-like hexagonal channels,"a=26.8602(6), b=26.8602(6), c=7.2007(5) Å, α=90°, β=90°, γ=120°, R3",,,not_reported,yes,,,10.1039/d4ce00008k,ok,
10.1039/d4ce00008k,downloaded\10.1039_d4ce00008k.pdf,SI downloaded\10.1039_d4ce00008k_SI.pdf,mof_json_store\10.1039_d4ce00008k\raw_output.json,mof_json_store\10.1039_d4ce00008k\synthesis_003.json,no,,[Cu(L4)]n,2290233,Co(CH3COO)2·4H2O,,"37 mg, 0.10 mmol",0.1,mmol,nan,,,,,nan,,,,,(E)-2-((2-hydroxy-5-iodobenzylidene)amino)acetic acid,H2L4,"32.7 mg, 0.10 mmol",0.1,mmol,,,,,,,,,,,,,,,,,,,,,methanol,MeOH,,,ethanol,EtOH,,,25,RT,,stirred 30 min at RT; filtrate slowly evaporated at RT for 7 days,,stirred 30 min; then static (slow evaporation),,,,,,tiny green rod-shaped crystals,56.0,0.26 × 0.18 × 0.15 mm,,Cu2 dimer nodes linked by carboxylates into MOF-74-like hexagonal channels,"a=26.796(5), b=26.796(5), c=7.4941(14) Å, α=90°, β=90°, γ=120°, R3",,,not_reported,yes,,,10.1039/d4ce00008k,ok,
10.1039/d4ce00008k,downloaded\10.1039_d4ce00008k.pdf,SI downloaded\10.1039_d4ce00008k_SI.pdf,mof_json_store\10.1039_d4ce00008k\raw_output.json,mof_json_store\10.1039_d4ce00008k\synthesis_004.json,no,,[Cu(L5)]n,,Co(CH3COO)2·4H2O,,"37 mg, 0.10 mmol",0.1,mmol,nan,,,,,nan,,,,,(E)-2-((2-hydroxy-5-methylbenzylidene)amino)acetic acid,H2L5,"21.5 mg, 0.10 mmol",0.1,mmol,,,,,,,,,,,,,,,,,,,,,methanol,MeOH,,,ethanol,EtOH,,,25,RT,,stirred 30 min at RT; filtrate slowly evaporated at RT for 5 days,,stirred 30 min; then static (slow evaporation),,,,,,fine green needle-shaped crystals (powder),,,,Cu2 dimer nodes linked by carboxylates into MOF-74-like hexagonal channels,,,,not_reported,yes,,,10.1039/d4ce00008k,ok,
10.1039/d4ce00008k,downloaded\10.1039_d4ce00008k.pdf,SI downloaded\10.1039_d4ce00008k_SI.pdf,mof_json_store\10.1039_d4ce00008k\raw_output.json,mof_json_store\10.1039_d4ce00008k\synthesis_005.json,no,,[Cu(L6)]n,,Co(CH3COO)2·4H2O,,"37 mg, 0.10 mmol",0.1,mmol,nan,,,,,nan,,,,,(E)-2-((5-cyano-2-hydroxybenzylidene)amino)acetic acid,H2L6,"28.0 mg, 0.10 mmol",0.1,mmol,,,,,,,,,,,,,,,,,,,,,methanol,MeOH,,,ethanol,EtOH,,,25,RT,,stirred 30 min at RT; filtrate slowly evaporated at RT for 5 days,,stirred 30 min; then static (slow evaporation),,,,,,tiny rod-shaped crystals,,,,Cu2 dimer nodes linked by carboxylates into MOF-74-like hexagonal channels,,,,not_reported,no,,,10.1039/d4ce00008k,ok,
10.1002/anie.202309108,downloaded\10.1002_anie.202309108.pdf,SI downloaded\10.1002_anie.202309108_SI.pdf,mof_json_store\10.1002_anie.202309108\raw_output.json,mof_json_store\10.1002_anie.202309108\synthesis_001.json,no,,MOF-303,,Co(CH3COO)2·4H2O,,240 mg (1 mmol),1,mmol,nan,,,,,nan,,,,,"1H-pyrazole-3,5-dicarboxylic acid",H2PZDC,158 mg (1 mmol),1.0,mmol,,,,,,,,,,,lithium hydroxide (in water),LiOH,"2 M, 1 mL",2.0,mmol,,,,,,water,H2O,4 mL,4.0,,,,,100.0,"Pre-heated at 120 °C for 30 min (dissolution), then 100 °C for 15 h",15.0,15 h,,static,"H2O, MeOH (anhydrous)",,120 °C under dynamic vacuum (~10^-3 mbar) for 6 h,120.0,6.0,,,,,infinite [Al(OH)(O2C)2]n rod; AlO6 octahedra,,5.8,1244.0,not_reported,yes,,C2H4_purification;C2H2_removal;C2H6_removal,10.1002/anie.202309108,ok,
10.1002/anie.202309108,downloaded\10.1002_anie.202309108.pdf,SI downloaded\10.1002_anie.202309108_SI.pdf,mof_json_store\10.1002_anie.202309108\raw_output.json,mof_json_store\10.1002_anie.202309108\synthesis_002.json,no,,MOF-303,,Cu(CH3COO)2·2H2O,,1.32 kg (5.5 mol),5500,mmol,nan,,,,,nan,,,,,"1H-pyrazole-3,5-dicarboxylic acid",H2PZDC,0.87 kg (5.5 mol),5.5,mol,,,,,,,,,,,sodium hydroxide,NaOH,0.66 kg (16.5 mol),16.5,mol,,,,,,water,H2O,10 L (ligand/base solution) + 3 L (metal solution),,,,,,95.0,95 °C reflux,8.0,8 h,30 L glass reaction vessel,"stirred, 100 rpm","H2O, EtOH",,vacuum dried at 393 K (120 °C) overnight,120.0,,white precipitate,93.0,mean ~5.15 μm (SEM),,infinite [Al(OH)(O2C)2]n rod; AlO6 octahedra,,5.8,1244.0,not_reported,yes,,C2H4_purification;C2H2_removal;C2H6_removal,10.1002/anie.202309108,ok,
10.1039/d0ta08085c,downloaded\10.1039_d0ta08085c.pdf,SI downloaded\10.1039_d0ta08085c_SI.pdf,mof_json_store\10.1039_d0ta08085c\raw_output.json,mof_json_store\10.1039_d0ta08085c\synthesis_001.json,no,,HKUST-1,,Cu(CH3COO)2·2H2O,,2.0 g in 15 mL H2O,9.91749,mmol,nan,,,,,nan,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,1.0 g,1.0,g,,,,,,,,,,,,,,,,,,,,,"N,N-dimethylformamide",DMF,"DMF:EtOH:H2O 1:1:1 (v/v/v), 15 mL (for H3-BTC solution)",15.0,ethanol,EtOH,"in DMF:EtOH:H2O 1:1:1 (v/v/v), part of 15 mL",,100.0,100 °C,12.0,12 h,Teflon-sealed autoclave,stirred,"DMF, MeOH","DMF 3×, MeOH 2×",60 °C under high vacuum (<1e-7 bar),60.0,,,,,,Cu2 paddlewheel SBU,,,1267.0,not_reported,not_reported,318.0,photocatalysis;water_oxidation,10.1039/d0ta08085c,ok,
10.1039/d0ta08085c,downloaded\10.1039_d0ta08085c.pdf,SI downloaded\10.1039_d0ta08085c_SI.pdf,mof_json_store\10.1039_d0ta08085c\raw_output.json,mof_json_store\10.1039_d0ta08085c\synthesis_002.json,no,,NR-HKUST-1,,Cu(CH3COO)2·2H2O,,0.725 g (3 mmol),3,mmol,nan,,,,,nan,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,0.421 g (2 mmol),0.421,g,,,,,,,,,,,vanillin,VAN,1.521 g (10 mmol) in 10 mL H2O,10.0,mmol,,,,,,"N,N-dimethylformamide",DMF,"DMF:EtOH:H2O (1:1:1, v/v/v), 30 mL",30.0,ethanol,EtOH,"in DMF:EtOH:H2O (1:1:1, v/v/v), part of 30 mL",,100.0,100 °C,12.0,12 h,Teflon-sealed autoclave,stirred,"DMF, MeOH","DMF 3×, MeOH 2×",60 °C under high vacuum (<1e-7 bar),60.0,,defective crystals with nano-rods on {110} plane,,,,Cu2 paddlewheel SBU,,,1484.0,not_reported,not_reported,312.0,photocatalysis;water_oxidation,10.1039/d0ta08085c,ok,
10.1039/d0ta08085c,downloaded\10.1039_d0ta08085c.pdf,SI downloaded\10.1039_d0ta08085c_SI.pdf,mof_json_store\10.1039_d0ta08085c\raw_output.json,mof_json_store\10.1039_d0ta08085c\synthesis_003.json,no,,NS-HKUST-1,,Cu(CH3COO)2·2H2O,,0.725 g (3 mmol),3,mmol,nan,,,,,nan,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,0.421 g (2 mmol),0.421,g,,,,,,,,,,,vanillin,VAN,1.521 g (10 mmol) in 10 mL H2O,10.0,mmol,,,,,,methanol,MeOH,"MeOH:H2O (1:1, v/v), 30 mL",30.0,water,H2O,"in MeOH:H2O (1:1, v/v), part of 30 mL; plus 10 mL for VAN solution",10.0,100.0,100 °C,12.0,12 h,Teflon-sealed autoclave,stirred,"DMF, MeOH","DMF 3×, MeOH 2×",60 °C under high vacuum (<1e-7 bar),60.0,,defective crystals with nano-sheets,,,,Cu2 paddlewheel SBU,,,883.0,not_reported,not_reported,310.0,photocatalysis;water_oxidation,10.1039/d0ta08085c,ok,
10.1021/ic061664y,downloaded\10.1021_ic061664y.pdf,SI downloaded\10.1021_ic061664y_SI.pdf,mof_json_store\10.1021_ic061664y\raw_output.json,mof_json_store\10.1021_ic061664y\synthesis_001.json,no,,,,Cu(CH3COO)2·2H2O,,"0.36 g, 0.125 mmol",0.125,mmol,nan,,"0.12 g, 0.5 mmol",0.5,mmol,nan,,,,,"2,5-dimethylpyrazine","2,5-Me2pz","0.108 g, 1.0 mmol",1.0,mmol,"2,3-dimethylpyrazine","2,3-Me2pz","0.05 mL, 0.2 mmol",0.2,mmol,,,,,,NaOH (aq),,1.0 mol L^-1; adjusted to pH ~5–6,,,,,,,,water,H2O,16 mL,16.0,,,,,170.0,"170 °C hydrothermal; cooled to 100 °C at 5 °C h^-1, held 16 h; then cooled to RT at 3 °C h^-1",50.0,50 h at 170 °C; plus 16 h at 100 °C,25 mL Teflon-lined autoclave (Parr),"stirred to dissolve, then static",,,,,,red crystals,30.5,,,,,,,,,,,10.1021/ic061664y,ok,
10.1021/ic061664y,downloaded\10.1021_ic061664y.pdf,SI downloaded\10.1021_ic061664y_SI.pdf,mof_json_store\10.1021_ic061664y\raw_output.json,mof_json_store\10.1021_ic061664y\synthesis_002.json,no,,,,Co(NO3)2·6H2O,,"1.14 g, 0.40 mmol",0.4,mmol,nan,,"0.85 g, 0.5 mmol",0.5,mmol,nan,,,,,"4,4'-bipyridine","4,4′-bipy","0.08 g, 0.5 mmol",0.5,mmol,,,,,,,,,,,NaOH (aq),,1.0 mol L^-1; adjusted to pH ~5–6,,,,,,,,water,H2O,20 mL,20.0,,,,,180.0,"180 °C hydrothermal; cooled to 100 °C at 5 °C h^-1, held 10 h; then cooled to RT at 5 °C h^-1",24.0,24 h at 180 °C; plus 10 h at 100 °C,25 mL Teflon-lined autoclave (Parr),"stirred to dissolve, then static",,,,,,purple-red crystals,10.2,,,,,,,,,,,10.1021/ic061664y,ok,
10.1021/ic061664y,downloaded\10.1021_ic061664y.pdf,SI downloaded\10.1021_ic061664y_SI.pdf,mof_json_store\10.1021_ic061664y\raw_output.json,mof_json_store\10.1021_ic061664y\synthesis_003.json,no,,,,Ni(SO4)·6H2O,,"0.304 g, 0.167 mmol",0.167,mmol,nan,,"0.24 g, 1.0 mmol",1.0,mmol,nan,,,,,2-methylpyrazine,2-Mepz,"0.25 mL, 1.0 mmol",1.0,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,18 mL,18.0,,,,,180.0,"180 °C hydrothermal; cooled to 100 °C at 5 °C h^-1, held 34 h; then cooled to RT at 5 °C h^-1",50.0,50 h at 180 °C; plus 34 h at 100 °C,25 mL Teflon-lined autoclave (Parr),"stirred to dissolve, then static",,,,,,black plate crystals,40.6,,,,,,,,,,,10.1021/ic061664y,ok,
10.1021/ic061664y,downloaded\10.1021_ic061664y.pdf,SI downloaded\10.1021_ic061664y_SI.pdf,mof_json_store\10.1021_ic061664y\raw_output.json,mof_json_store\10.1021_ic061664y\synthesis_004.json,no,,,,Co(NO3)2·6H2O,,"0.36 g, 0.125 mmol",0.125,mmol,nan,,"0.34 g, 2.0 mmol",2.0,mmol,nan,,,,,"2,3-dimethylpyrazine","2,3-Me2pz","1.08 g, 1.0 mmol",1.0,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,16 mL,16.0,,,,,180.0,180 °C hydrothermal; cooled to 80 °C at 5 °C h^-1; held 16 h at 100 °C; then cooled to RT at 5 °C h^-1,50.0,50 h at 180 °C; plus 16 h at 100 °C,25 mL Teflon-lined autoclave (Parr),"stirred to dissolve, then static",,,,,,yellow block crystals,20.5,,,,,,,,,,,10.1021/ic061664y,ok,
10.1021/ic061664y,downloaded\10.1021_ic061664y.pdf,SI downloaded\10.1021_ic061664y_SI.pdf,mof_json_store\10.1021_ic061664y\raw_output.json,mof_json_store\10.1021_ic061664y\synthesis_005.json,no,,,,Co(NO3)2·6H2O,,"1.44 g, 0.5 mmol",0.5,mmol,nan,,"0.24 g, 1.0 mmol",1.0,mmol,nan,,,,,pyrazine,pz,"0.24 g, 3.0 mmol",3.0,mmol,,,,,,,,,,,NaOH (aq),,1.0 mol L^-1; adjusted to pH ~3.5,,,,,,,,water,H2O,18 mL,18.0,,,,,200.0,"200 °C hydrothermal; cooled to 120 °C at 10 °C h^-1, held 16 h; then cooled to RT at 3 °C h^-1",50.0,50 h at 200 °C; plus 16 h at 120 °C,25 mL Teflon-lined autoclave (Parr),"stirred to dissolve, then static",,,,,,red sheet crystal,80.0,,,,,,,,,,,10.1021/ic061664y,ok,
10.1021/ic061664y,downloaded\10.1021_ic061664y.pdf,SI downloaded\10.1021_ic061664y_SI.pdf,mof_json_store\10.1021_ic061664y\raw_output.json,mof_json_store\10.1021_ic061664y\synthesis_006.json,no,,,,Ni(NO3)2·6H2O,,"0.36 g, 0.125 mmol",0.125,mmol,nan,,"0.12 g, 0.5 mmol",0.5,mmol,nan,,,,,"2,3-dimethylpyrazine","2,3-Me2pz","0.108 g, 1.0 mmol",1.0,mmol,,,,,,,,,,,NaOH (aq),,1.0 mol L^-1; adjusted to pH ~3–4,,,,,,,,water,H2O,18 mL,18.0,,,,,180.0,"180 °C hydrothermal; cooled to 100 °C at 10 °C h^-1, held 16 h; then cooled to RT at 3 °C h^-1",34.0,34 h at 180 °C; plus 16 h at 100 °C,25 mL Teflon-lined autoclave (Parr),"stirred to dissolve, then static",,,,,,red sheet crystals,85.0,,,,,,,,,,,10.1021/ic061664y,ok,
10.1021/ic061664y,downloaded\10.1021_ic061664y.pdf,SI downloaded\10.1021_ic061664y_SI.pdf,mof_json_store\10.1021_ic061664y\raw_output.json,mof_json_store\10.1021_ic061664y\synthesis_007.json,no,,,,Co(CH3COO)2·4H2O,,"1.15 g, 0.4 mmol",0.4,mmol,nan,,"0.12 g, 0.5 mmol",0.5,mmol,nan,,,,,"4,4'-bipyridine","4,4′-bipy","0.156 g, 1.0 mmol",1.0,mmol,,,,,,,,,,,β-alanine,,"0.05 g, 0.56 mmol",0.56,mmol,NH3·H2O (aq),,1.0 mol L^-1; adjusted to pH ~8,,,water,H2O,18 mL,18.0,,,,,160.0,160 °C hydrothermal; then cooled to RT at 5 °C h^-1,24.0,24 h at 160 °C,25 mL Teflon-lined autoclave (Parr),"stirred to dissolve, then static",,,,,,yellow crystals,10.0,,,,,,,,,,,10.1021/ic061664y,ok,
10.1021/ic061664y,downloaded\10.1021_ic061664y.pdf,SI downloaded\10.1021_ic061664y_SI.pdf,mof_json_store\10.1021_ic061664y\raw_output.json,mof_json_store\10.1021_ic061664y\synthesis_008.json,no,,,,Co(CH3COO)2·4H2O,,"1.14 g, 0.40 mmol",0.4,mmol,nan,,"0.20 g, 0.8 mmol",0.8,mmol,nan,,,,,"4,4'-bipyridine","4,4′-bipy","0.08 g, 0.5 mmol",0.5,mmol,,,,,,,,,,,NaOH (aq),,1.0 mol L^-1; adjusted to pH ~7,,,,,,,,water,H2O,20 mL,20.0,,,,,200.0,"200 °C hydrothermal; cooled to 100 °C at 5 °C h^-1, held 10 h; then cooled to RT at 5 °C h^-1",48.0,48 h at 200 °C; plus 10 h at 100 °C,25 mL Teflon-lined autoclave (Parr),"stirred to dissolve, then static",,,,,,blue block crystals,34.7,,,,,,,not_reported,not_reported,380.0,,10.1021/ic061664y,ok,
10.1039/c5nj02634b,downloaded\10.1039_c5nj02634b.pdf,SI downloaded\10.1039_c5nj02634b_SI.pdf,mof_json_store\10.1039_c5nj02634b\raw_output.json,mof_json_store\10.1039_c5nj02634b\synthesis_001.json,no,,Zn(L1)(AzDC)·(DMF)3 (1),1409106,Cd(ClO4)2·6H2O,,0.2 mmol,0.2,mmol,nan,,,,,nan,,,,,"4,4'-(diazene-1,2-diyl)dibenzoic acid",H2AzDC,0.2 mmol,0.2,mmol,"N1,N4-di(pyridin-4-yl)terephthalamide",L1,0.2 mmol,0.2,mmol,,,,,,,,,,,,,,,,"N,N-dimethylformamide",DMF,5 mL,5.0,,,,,115.0,115 °C,72.0,3 days,Teflon-lined autoclave,static,MeOH,3 days,150 °C under vacuum for 24 h,150.0,24.0,red crystals,65.0,,pcu,Zn2(O2C)4 paddle-wheel 6-connected SBU,,3.5,,not_reported,not_reported,,CO2_capture,10.1039/c5nj02634b,ok,
10.1039/c5nj02634b,downloaded\10.1039_c5nj02634b.pdf,SI downloaded\10.1039_c5nj02634b_SI.pdf,mof_json_store\10.1039_c5nj02634b\raw_output.json,mof_json_store\10.1039_c5nj02634b\synthesis_002.json,no,,Zn(L2)(AzDC)·(DMF)0.5(H2O) (2),1409107,Cd(ClO4)2·6H2O,,0.2 mmol,0.2,mmol,nan,,,,,nan,,,,,"4,4'-(diazene-1,2-diyl)dibenzoic acid",H2AzDC,0.2 mmol,0.2,mmol,"N1,N4-di(pyridin-3-yl)terephthalamide",L2,0.2 mmol,0.2,mmol,,,,,,,,,,,,,,,,"N,N-dimethylformamide",DMF,5 mL,5.0,,,,,115.0,115 °C,72.0,3 days,Teflon-lined autoclave,static,MeOH,3 days,150 °C under vacuum for 24 h,150.0,24.0,red crystals,73.0,,pcu,Zn2(O2C)4 paddle-wheel 6-connected SBU,,10.3,,not_reported,not_reported,,CO2_capture,10.1039/c5nj02634b,ok,
10.1039/c5nj02634b,downloaded\10.1039_c5nj02634b.pdf,SI downloaded\10.1039_c5nj02634b_SI.pdf,mof_json_store\10.1039_c5nj02634b\raw_output.json,mof_json_store\10.1039_c5nj02634b\synthesis_003.json,no,,Zn2(AzDC)2(L3)·(DMF)(H2O)0.5 (3),1414037,Zn(CH3COO)2·2H2O,,0.2 mmol,0.2,mmol,nan,,,,,nan,,,,,"4,4'-(diazene-1,2-diyl)dibenzoic acid",H2AzDC,0.2 mmol,0.2,mmol,"N4,N4'-di(pyridin-4-yl)-[1,1'-biphenyl]-4,4'-dicarboxamide",L3,0.2 mmol,0.2,mmol,,,,,,,,,,,,,,,,"N,N-dimethylformamide",DMF,5 mL,5.0,,,,,115.0,115 °C; cooled to RT at 3 °C h−1,72.0,3 days,Teflon-lined autoclave,static,MeOH,3 days,150 °C under vacuum for 24 h,150.0,24.0,red block crystals,70.0,,pcu,Zn2(O2C)4 paddle-wheel 6-connected SBU,,3.8,69.5,not_reported,not_reported,,CO2_capture,10.1039/c5nj02634b,ok,
10.1039/c5nj02634b,downloaded\10.1039_c5nj02634b.pdf,SI downloaded\10.1039_c5nj02634b_SI.pdf,mof_json_store\10.1039_c5nj02634b\raw_output.json,mof_json_store\10.1039_c5nj02634b\synthesis_004.json,no,,Zn(AzDC)(L3)·(DMF) (4),1414038,Zn(CH3COO)2·2H2O,,0.2 mmol,0.2,mmol,nan,,,,,nan,,,,,"4,4'-(diazene-1,2-diyl)dibenzoic acid",H2AzDC,0.2 mmol,0.2,mmol,"N4,N4'-di(pyridin-4-yl)-[1,1'-biphenyl]-4,4'-dicarboxamide",L3,0.2 mmol,0.2,mmol,,,,,,,,,,,,,,,,"N,N-dimethylformamide",DMF,15 mL,15.0,,,,,115.0,115 °C; cooled to RT at 3 °C h−1,72.0,3 days,Teflon-lined autoclave,static,MeOH,3 days,150 °C under vacuum for 24 h,150.0,24.0,orange slice crystals,50.0,,,4-connected Zn(II) nodes,,6.4,1382.8,not_reported,not_reported,,CO2_capture,10.1039/c5nj02634b,ok,
10.1039/c5ce02492g,downloaded\10.1039_c5ce02492g.pdf,SI downloaded\10.1039_c5ce02492g_SI.pdf,mof_json_store\10.1039_c5ce02492g\raw_output.json,mof_json_store\10.1039_c5ce02492g\synthesis_001.json,yes,"Changing reactant ratios, pH, solvent and temperature yielded no new coordination polymers beyond 1–3.",,,Zn(CH3COO)2·2H2O,,0.2 mmol,0.2,mmol,nan,,,,,nan,,,,,"1-imidazol-1-yl-3-(1,2,4-triazol-4-yl)propane",itp,0.1 mmol,0.1,mmol,"benzene-1,3,5-tricarboxylic acid",BTC,0.1 mmol,0.1,mmol,,,,,,NaOH,,0.28 mmol,0.28,mmol,,,,,,water,H2O,10 mL,10.0,,,,,110.0,110 °C,72.0,three days,Teflon-lined stainless steel vessel,,,,,,,blue block crystals,43.0,,,tetranuclear [Cu4(μ3-OH)2] cluster plus Cu nodes,"a=10.9419(4), b=11.4047(5), c=14.4901(7), α=97.473(4), β=107.198(4), γ=105.458(4), P-1",,,not_reported,not_reported,275.0,photocatalysis;dye_degradation,10.1039/c5ce02492g,ok,
10.1039/c5ce02492g,downloaded\10.1039_c5ce02492g.pdf,SI downloaded\10.1039_c5ce02492g_SI.pdf,mof_json_store\10.1039_c5ce02492g\raw_output.json,mof_json_store\10.1039_c5ce02492g\synthesis_002.json,yes,"Changing reactant ratios, pH, solvent and temperature yielded no new coordination polymers beyond 1–3.",,,Zn(CH3COO)2·2H2O,,0.2 mmol,0.2,mmol,nan,,,,,nan,,,,,"1-imidazol-1-yl-3-(1,2,4-triazol-4-yl)propane",itp,0.1 mmol,0.1,mmol,"benzene-1,3,5-tricarboxylic acid",BTC,0.1 mmol,0.1,mmol,,,,,,NaOH,,0.28 mmol,0.28,mmol,,,,,,ethanol,EtOH,6 mL,6.0,water,H2O,6 mL,6.0,110.0,110 °C,72.0,three days,Teflon-lined stainless steel vessel,,,,,,,blue block crystals,36.0,,,tetranuclear [Cu4(μ3-OH)2] 10-connected SBU,"a=12.5634(5), b=10.1057(5), c=18.1729(9), β=105.024(5), P21/c",,,not_reported,not_reported,260.0,photocatalysis;dye_degradation,10.1039/c5ce02492g,ok,
10.1039/c5ce02492g,downloaded\10.1039_c5ce02492g.pdf,SI downloaded\10.1039_c5ce02492g_SI.pdf,mof_json_store\10.1039_c5ce02492g\raw_output.json,mof_json_store\10.1039_c5ce02492g\synthesis_003.json,yes,"Changing reactant ratios, pH, solvent and temperature yielded no new coordination polymers beyond 1–3.",,,Cu(NO3)2·3H2O,,0.2 mmol,0.2,mmol,nan,,,,,nan,,,,,"1-imidazol-1-yl-3-(1,2,4-triazol-4-yl)propane",itp,0.1 mmol,0.1,mmol,5-sulfoisophthalate,sip,0.1 mmol,0.1,mmol,,,,,,NaOH,,0.20 mmol,0.2,mmol,,,,,,water,H2O,10 mL,10.0,,,,,110.0,110 °C,72.0,three days,Teflon-lined stainless steel vessel,,,,,,,blue block crystals,52.0,,,tetranuclear [Cu4(μ3-OH)2] 4-connected SBU,"a=10.1345(7), b=10.6740(7), c=11.4983(9), α=98.733(6), β=113.119(7), γ=92.033(5), P-1",,,not_reported,not_reported,278.0,photocatalysis;dye_degradation,10.1039/c5ce02492g,ok,
10.1002/zaac.201100403,downloaded\10.1002_zaac.201100403.pdf,SI downloaded\10.1002_zaac.201100403_SI.pdf,mof_json_store\10.1002_zaac.201100403\raw_output.json,mof_json_store\10.1002_zaac.201100403\synthesis_001.json,no,,,839730,Cu(NO3)2·3H2O,,"0.06 g, 0.25 mmol",0.25,mmol,nan,,,,,nan,,,,,"5-nitro-benzene-1,2,3-tricarboxylic acid",O2N-H3btb,"0.12 g, 0.5 mmol",,,,,,,,,,,,,NaOH,,pH adjusted to 7 by NaOH,,,,,,,,water,H2O,10 mL,10.0,,,,,140.0,140 °C,72.0,72 h,20 mL Teflon reactor,stirred 10 min before sealing,,,,,,blue plate crystals,44.0,,,Cu2(L)2 dinuclear units linked by Cu(H2O)3,"a=11.9131(8) Å, b=7.5453(5) Å, c=22.1896(16) Å, β=92.9210(10)°, P21/n",,,not_reported,not_reported,403.0,,10.1002/zaac.201100403,ok,
10.1002/zaac.201100403,downloaded\10.1002_zaac.201100403.pdf,SI downloaded\10.1002_zaac.201100403_SI.pdf,mof_json_store\10.1002_zaac.201100403\raw_output.json,mof_json_store\10.1002_zaac.201100403\synthesis_002.json,no,,,839731,Cu(NO3)2·3H2O,,"0.05 g, 0.25 mmol",0.25,mmol,nan,,,,,nan,,,,,"5-nitro-benzene-1,2,3-tricarboxylic acid",O2N-H3btb,"0.12 g, 0.5 mmol",,,,,,,,,,,,,NaOH,,pH adjusted to 8 by NaOH,,,,,,,,water,H2O,15 mL,15.0,,,,,125.0,125 °C,72.0,72 h,20 mL Teflon reactor,stirred 10 min before sealing,,,,,,colorless plate crystals,47.0,,,interconnected Pb-carboxylate chains; three distinct Pb sites,"a=6.9838(7) Å, b=12.0288(11) Å, c=12.3939(12) Å, α=77.0470(10)°, β=88.6920(10)°, γ=87.5630(10)°, P-1",,,not_reported,not_reported,402.0,luminescence,10.1002/zaac.201100403,ok,
