doi,article_trial_or_failure,article_trial_or_failure_notes,mof_name,crystal_code,metal_1,metal_1_abbr,metal_1_amount_text,metal_1_amount_value,metal_1_amount_unit,metal_2,metal_2_abbr,metal_2_amount_text,metal_2_amount_value,metal_2_amount_unit,metal_3,metal_3_abbr,metal_3_amount_text,metal_3_amount_value,metal_3_amount_unit,linker_1,linker_1_abbr,linker_1_amount_text,linker_1_amount_value,linker_1_amount_unit,linker_2,linker_2_abbr,linker_2_amount_text,linker_2_amount_value,linker_2_amount_unit,linker_3,linker_3_abbr,linker_3_amount_text,linker_3_amount_value,linker_3_amount_unit,modulator_1,modulator_1_abbr,modulator_1_amount_text,modulator_1_amount_value,modulator_1_amount_unit,modulator_2,modulator_2_abbr,modulator_2_amount_text,modulator_2_amount_value,modulator_2_amount_unit,solvent_main,solvent_main_abbr,solvent_main_amount_text,solvent_main_ml,solvent_secondary,solvent_secondary_abbr,solvent_secondary_amount_text,solvent_secondary_ml,temperature_c,temperature_c_text,time_h,time_text,vessel_type,stirring,washing_solvent,washing_cycles,activation_text,activation_temp_c,activation_time_h,crystal_morphology,yield_percent,crystal_size,topology_code,metal_cluster_connectivity,unit_cell_short,pore_diameter_A,BET_surface_area_m2g,air_stable,water_stable,tga_decomposition_temp_c,applications,reference,status,error
10.1002/chem.200801856,yes,Longer reaction times led to a mixture of MIL-96 and MIL-110.,MIL-110,,Al(NO3)3·9H2O,,"1.77 mmol, 665 mg",1.77,mmol,,,,,,,,,,,"trimethyl 1,3,5-benzenetricarboxylate",Me3btc,"1.19 mmol, 302 mg",1.19,mmol,,,,,,,,,,,nitric acid,HNO3,"4 mmol, 1 mL 4 M",4,mmol,,,,,,water,H2O,5 mL (270 mmol),5,,,,,210,210 °C,72,72 h,23 mL Teflon-lined steel Parr autoclave,,deionised water,,dried in air at room temperature,,,yellowish powder; hexagonal rod-like crystals,,5–30 μm,,Al8 octameric cluster with μ2-OH bridges,,16,,,,,,10.1002/chem.200801856,ok,
10.1002/chem.200801856,yes,Longer reaction times led to a mixture of MIL-96 and MIL-110.,MIL-110,,Al(NO3)3·9H2O,,"0.874 mmol, 328 mg",0.874,mmol,,,,,,,,,,,"trimethyl 1,3,5-benzenetricarboxylate",Me3btc,"0.436 mmol, 110 mg",0.436,mmol,,,,,,,,,,,sodium hydroxide,NaOH,"2 mmol, 0.5 mL 4 M",2,mmol,,,,,,water,H2O,5 mL (270 mmol),5,,,,,210,210 °C,3,3 h,23 mL Teflon-lined steel Parr autoclave,,deionised water,,dried in air at room temperature,,,white powder; hexagonal rod-like crystals,,0.3–5 μm,,Al8 octameric cluster with μ2-OH bridges,,16,,,,,,10.1002/chem.200801856,ok,
10.1002/chem.201901939,yes,High-Co sample E (Fe/Co batch 1:19) was X-ray amorphous.,NH2-MIL-88B(Fe),,FeCl3·6H2O,,2 mmol,2,mmol,,,,,,,,,,,2-aminoterephthalic acid,NH2-BDC,1 mmol,1,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,15 mL (7.5 mL + 7.5 mL),15,,,,,120,120 °C,24,24 h,Teflon-lined autoclave,static,"DMF, ethanol",,110 °C under vacuum overnight,110,,spindle-shaped crystals,,,,Fe3(μ3-O) trimeric SBU,,,83,,,,,10.1002/chem.201901939,ok,
10.1002/chem.201901939,yes,High-Co sample E (Fe/Co batch 1:19) was X-ray amorphous.,NH2-MIL-88B(Fe/Co),,FeCl3·6H2O,,1 mmol,1,mmol,CoCl2·6H2O,,1 mmol,1,mmol,,,,,,2-aminoterephthalic acid,NH2-BDC,1 mmol,1,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,15 mL (7.5 mL + 7.5 mL),15,,,,,120,120 °C,24,24 h,Teflon-lined autoclave,static,"DMF, ethanol",,110 °C under vacuum overnight,110,,spindle-shaped crystals,,,,M3(μ3-O) trimeric SBUs (Fe3 and Co3),,,51,,,,,10.1002/chem.201901939,ok,
10.1002/chem.201901939,yes,High-Co sample E (Fe/Co batch 1:19) was X-ray amorphous.,NH2-MIL-88B/MIL-101 (Fe/Co) mixed phase,,FeCl3·6H2O,,0.5 mmol,0.5,mmol,CoCl2·6H2O,,1.5 mmol,1.5,mmol,,,,,,2-aminoterephthalic acid,NH2-BDC,1 mmol,1,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,15 mL (7.5 mL + 7.5 mL),15,,,,,120,120 °C,24,24 h,Teflon-lined autoclave,static,"DMF, ethanol",,110 °C under vacuum overnight,110,,spindles and distorted octahedra,,,,M3(μ3-O) trimeric SBUs (Fe/Co),,,239,,,,,10.1002/chem.201901939,ok,
10.1002/chem.201901939,yes,High-Co sample E (Fe/Co batch 1:19) was X-ray amorphous.,NH2-MIL-88B(Fe/Co),,FeCl3·6H2O,,0.2 mmol,0.2,mmol,CoCl2·6H2O,,1.8 mmol,1.8,mmol,,,,,,2-aminoterephthalic acid,NH2-BDC,1 mmol,1,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,15 mL (7.5 mL + 7.5 mL),15,,,,,120,120 °C,24,24 h,Teflon-lined autoclave,static,"DMF, ethanol",,110 °C under vacuum overnight,110,,spindle-shaped crystals,,,,M3(μ3-O) trimeric SBUs (Fe/Co),,,12,,,,,10.1002/chem.201901939,ok,
10.1002/chem.201901939,yes,High-Co sample E (Fe/Co batch 1:19) was X-ray amorphous.,Co-MOF (NH2-BDC-Co),,CoCl2·6H2O,,2 mmol,2,mmol,,,,,,,,,,,2-aminoterephthalic acid,NH2-BDC,1 mmol,1,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,15 mL (7.5 mL + 7.5 mL),15,,,,,120,120 °C,24,24 h,Teflon-lined autoclave,static,"DMF, ethanol",,110 °C under vacuum overnight,110,,rod-like crystals,,,,,,,,,,,,10.1002/chem.201901939,ok,
10.1039/c3ce41095a,yes,"For 2, initial 30 h gave microcrystals not 2; additional HBF4 and reheating were required.",,943580,Cu(NO3)2·3H2O,,"0.030 g, 0.12 mmol",0.12,mmol,,,,,,,,,,,5-(bis(4-carboxybenzyl)amino)isophthalic acid monohydrate,H4L,"0.010 g, 0.02 mmol",0.02,mmol,,,,,,,,,,,tetrafluoroboric acid (40% in water),HBF4,3 drops (40% in water),,,,,,,,dimethylformamide,DMF,2 mL,2,,,,,75,75 °C,36,36 h,glass vial (sealed),static,"MeOH, dichloromethane","MeOH exchange 3 days, refreshed 6×; DCM exchange","Vacuum at room temperature overnight, then degassed at 80 °C for 10 h",80,10,green crystals,39,,,Cu2 paddle-wheel SBU,"monoclinic, C2/c; a=15.1849(4), b=17.0797(4), c=18.8731(4) Å, β=97.172(2)°, V=4856.5(2) Å3",,469,not_reported,not_reported,300,CO2_capture;hydrogen_storage,10.1039/c3ce41095a,ok,
10.1039/c3ce41095a,yes,"For 2, initial 30 h gave microcrystals not 2; additional HBF4 and reheating were required.",,943581,Cu(NO3)2·3H2O,,"0.030 g, 0.12 mmol",0.12,mmol,,,,,,,,,,,5-(bis(4-carboxybenzyl)amino)isophthalic acid monohydrate,H4L,"0.010 g, 0.02 mmol",0.02,mmol,,,,,,,,,,,tetrafluoroboric acid (40% in water),HBF4,"3 drops initially, then additional 4 drops (40% in water) after 30 h",,,,,,,,dimethylformamide,DMF,1 mL,1,methanol,MeOH,1 mL,1,75,75 °C,60,"30 h, add HBF4, then 30 h more (total 60 h)",glass vial (sealed),static,,,,,,green crystals,42,,,Cu2 paddle-wheel SBU,"triclinic, P-1; a=10.6325(9), b=10.7258(8), c=18.3532(14) Å, α=76.671(6)°, β=86.717(6)°, γ=74.278(7)°, V=1960.4(3) Å3",3.54,,not_reported,not_reported,300,,10.1039/c3ce41095a,ok,
10.1021/acs.inorgchem.0c02674,no,,UiO-(OH)2,,ZrOCl2·8H2O,,174.015 mg,0.540004,mmol,,,,,,,,,,,"2,5-dihydroxyterephthalic acid",H2DHT,146.6 mg,0.739918,mmol,,,,,,,,,,,hydrochloric acid,HCl,1 mL,1,mL,,,,,,dimethylformamide,DMF,15 mL,15,,,,,80,80 °C,12,overnight,stainless-steel Teflon-lined autoclave,,"DMF, ethanol",three times,dried in a vacuum oven at 50 °C,50,,"yellow powder, ~200 nm particles",,~200 nm,,Zr6O4(OH)4 12-connected SBU,,,319.6,not_reported,not_reported,,,10.1021/acs.inorgchem.0c02674,ok,
10.1021/acs.cgd.1c00385,yes,At pH ≈4.6 a 2D framework formed as a minor impurity; pH and ratios were critical for pure 2.,[Co2(dip)2(obb)2]·2H2O (1),2073675,Co(NO3)2·6H2O,,"0.149 g, 0.5 mmol",0.5,mmol,,,,,,,,,,,"2,6-di(1H-imidazol-1-yl)pyridine",dip,"0.106 g, 0.5 mmol",0.5,mmol,"4,4'-oxybis(benzoic acid)",obb,"0.129 g, 0.5 mmol",0.5,mmol,,,,,,NaOH solution (pH adjustment),,added dropwise to adjust to pH 8–9,,,,,,,,water,H2O,10 mL,10,,,,,140,140 °C,72,"heated to 140 °C over 12 h, maintained 72 h; cooled to 40 °C over 24 h",Teflon-lined autoclave (20 mL),static,"H2O, MeOH, DMF",,air-dried,,,dark purple crystals,59,,cag,4-connected Co(II) nodes; 3-fold interpenetrated,"a=16.2954(15), b=21.505(3), c=26.981(3), α=90, β=90, γ=90, Pbca",,,not_reported,not_reported,383,proton_conduction,10.1021/acs.cgd.1c00385,ok,
10.1021/acs.cgd.1c00385,yes,At pH ≈4.6 a 2D framework formed as a minor impurity; pH and ratios were critical for pure 2.,[Co2(dip)2(btec)(H2O)]·3H2O (2),2073662,Co(NO3)2·6H2O,,"0.149 g, 0.5 mmol",0.5,mmol,,,,,,,,,,,"2,6-di(1H-imidazol-1-yl)pyridine",dip,"0.106 g, 0.5 mmol",0.5,mmol,"1,2,4,5-benzenetetracarboxylic acid",btec,"0.1271 g, 0.5 mmol",0.5,mmol,,,,,,NaOH solution (pH adjustment),,added dropwise to adjust to pH 5.4,,,,,,,,water,H2O,10 mL,10,,,,,140,140 °C,72,"heated to 140 °C over 12 h, maintained 72 h; cooled to 40 °C over 24 h",Teflon-lined autoclave (20 mL),static,"H2O, MeOH, DMF",,air-dried,,,pink crystalline solid,78,,,[Co2(O)(COO)2]n cluster chains; noninterpenetrated,"a=7.1134(5), b=13.8053(11), c=18.4479(13), α=106.665(5), β=100.591(5), γ=97.996(5), P-1",,,not_reported,yes,397,proton_conduction,10.1021/acs.cgd.1c00385,ok,
10.1021/acs.inorgchem.3c04060,no,,UCY-16,,Cu(NO3)2·5/2H2O,,"0.08 g, 0.34 mmol",0.34,mmol,,,,,,,,,,,5-aminoisophthalic acid,H2AIP,"0.10 g, 0.55 mmol",0.55,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,8 mL,8,water,H2O,2 mL,2,100,100 °C,6,∼4 to 6 h,20 mL glass vial,static,DMF,3× (5 mL each),dried in air,,,green plates,82,,,Cu4(μ3-OH)2 butterfly-like SBU (two types),"a=21.6852(6), b=19.9666(4), c=31.8129(6) Å, Pbca",6,,not_reported,no,250,,10.1021/acs.inorgchem.3c04060,ok,
10.1021/cg201059d,yes,Screened metal:ligand ratios; <2:1 gave unassigned phases; low acidity gave tiny PCN-131 crystals; could not obtain pure PCN-1320 despite varying pH/solvents/ratios.,PCN-131,,Zn(NO3)2·6H2O,,"59.4 mg, 0.2 mmol",0.2,mmol,,,,,,,,,,,"anthracene-9,10-dicarboxylic acid",H2adc,"26.2 mg, 0.1 mmol",0.1,mmol,,,,,,,,,,,HBF4,,five drops,,,,,,,,dimethylformamide,DMF,1.5 mL + 1.5 mL,3,,,,,120,120 °C,168,1 week,Pyrex tube (sealed),static,"MeOH, CH2Cl2","soaked 3 days in MeOH, then 3 days in CH2Cl2",under high vacuum at room temperature for 3 h (framework decomposed),,3,light-yellow block crystals,56,,,μ3-oxo-trizinc [Zn3O(COO)6] SBU; 1D honeycomb channels,"P31c; a=15.58 Å, b=15.58 Å, c=16.52 Å",,,not_reported,not_reported,310,,10.1021/cg201059d,ok,
10.1021/cg201059d,yes,Screened metal:ligand ratios; <2:1 gave unassigned phases; low acidity gave tiny PCN-131 crystals; could not obtain pure PCN-1320 despite varying pH/solvents/ratios.,PCN-132,,Zn(NO3)2·6H2O,,"59.4 mg, 0.2 mmol",0.2,mmol,,,,,,,,,,,"anthracene-9,10-dicarboxylic acid",H2adc,"26.6 mg, 0.1 mmol",0.1,mmol,,,,,,,,,,,,,,,,,,,,,"N,N-dimethylacetamide",DMAc,1.5 mL + 1.5 mL,3,,,,,60,60 °C,72,3 days,Pyrex tube (sealed),static,,,,,,colorless block crystals,32,,,Zn2(CO2)4 paddle-wheel SBU; 2D layers,"P21/n; a=15.28 Å, b=19.70 Å, c=15.59 Å",,,not_reported,not_reported,350,,10.1021/cg201059d,ok,
10.1021/cg201059d,yes,Screened metal:ligand ratios; <2:1 gave unassigned phases; low acidity gave tiny PCN-131 crystals; could not obtain pure PCN-1320 despite varying pH/solvents/ratios.,PCN-1310,,Zn(NO3)2·6H2O,,"59.4 mg, 0.2 mmol",0.2,mmol,,,,,,,,,,,"anthracene-9,10-dicarboxylic acid",H2adc,"26.2 mg, 0.1 mmol",0.1,mmol,"4,4′-bipyridyl","4,4′-bpy","15.6 mg, 0.1 mmol",0.1,mmol,,,,,,HBF4,,three drops,,,,,,,,dimethylformamide,DMF,1.5 mL + 1.5 mL,3,,,,,120,120 °C,48,2 days,Pyrex tube (sealed),static,"MeOH, CH2Cl2","soaked 3 days in MeOH, then 3 days in CH2Cl2",80 °C under high vacuum for 10 h,80,10,yellow block crystals,46,,,μ3-oxo-trizinc carboxylate SBU; bpy arranged in channels,"P21/n; a=15.81 Å, b=26.42 Å, c=16.43 Å",,442.2,not_reported,not_reported,,CO2_capture;hydrogen_storage,10.1021/cg201059d,ok,
10.1021/cg201059d,yes,Screened metal:ligand ratios; <2:1 gave unassigned phases; low acidity gave tiny PCN-131 crystals; could not obtain pure PCN-1320 despite varying pH/solvents/ratios.,PCN-1320,,Zn(NO3)2·6H2O,,"59.4 mg, 0.2 mmol",0.2,mmol,,,,,,,,,,,"anthracene-9,10-dicarboxylic acid",H2adc,"26.2 mg, 0.1 mmol",0.1,mmol,"4,4′-bipyridyl","4,4′-bpy","15.6 mg, 0.1 mmol",0.1,mmol,,,,,,HBF4,,three drops,,,,,,,,dimethylformamide,DMF,1.5 mL + 1.5 mL,3,,,,,120,120 °C,48,2 days,Pyrex tube (sealed),static,,,,,,few colorless block crystals,18,,,"Zn2(CO2)4 paddle-wheel SBU pillared by 4,4′-bpy","I4/mcm; a=15.44 Å, b=15.44 Å, c=28.03 Å",,,not_reported,not_reported,,,10.1021/cg201059d,ok,
10.1016/j.micromeso.2015.07.001,yes,DMA solvent gave crystals unsuitable for data; replacing pyridine with pyrazine or DABCO gave no product.,,1051659,Cu(NO3)2·2H2O,,"0.07 mmol, 16 mg",0.07,mmol,,,,,,,,,,,"5,5′-(1,3-phenylenebis(methylene))bis(oxy)diisophthalic acid",H4L,"0.035 mmol, 16 mg",0.035,mmol,,,,,,,,,,,pyridine,py,0.5 mL,0.5,mL,nitric acid,HNO3,1 mL (3.5 M in DMF),1,mL,dimethylformamide,DMF,8 mL,8,,,,,85,85 °C,96,4 days,,,"MeOH, CH2Cl2","MeOH 3 days, refreshed six times; CH2Cl2 similarly","Vacuum at RT overnight, then 80 °C under vacuum for 10 h",80,10,blue block crystals,65,,,Cu2(COO)4 paddlewheel SBU,,16.14,1233,not_reported,not_reported,317,CO2_capture;hydrogen_storage,10.1016/j.micromeso.2015.07.001,ok,
10.1016/j.micromeso.2015.07.001,yes,DMA solvent gave crystals unsuitable for data; replacing pyridine with pyrazine or DABCO gave no product.,,1051660,Cu(NO3)2·2H2O,,"0.10 mmol, 23 mg",0.1,mmol,,,,,,,,,,,"5,5′-(1,3-phenylenebis(methylene))bis(oxy)diisophthalic acid",H4L,"0.05 mmol, 23 mg",0.05,mmol,,,,,,,,,,,nitric acid,HNO3,3 drops (2.5 M),,,,,,,,water,H2O,6 mL,6,ethanol,EtOH,3 mL,3,85,85 °C,96,4 days,Teflon-lined autoclave (15 mL),static,,,,,,blue block crystals,60,,,Cu2(COO)4 paddlewheel SBU,,,,not_reported,not_reported,284,CO2_capture;hydrogen_storage,10.1016/j.micromeso.2015.07.001,ok,
10.1016/j.ica.2004.07.029,yes,Attempted Fe analogue gave molecular [Fe(tpyprz)2]2[Mo8O26]·3.7H2O instead of target framework.,,,MoO3,,"0.161 g, 1.119 mmol",1.119,mmol,Co(CH3COO)2·4H2O,,"0.110 g, 0.442 mmol",0.442,mmol,,,,,,tetra-2-pyridylpyrazine,tpyprz,"0.086 g, 0.221 mmol",0.221,mmol,,,,,,,,,,,HF,,"0.153 g, 3.82 mmol",3.82,mmol,,,,,,water,H2O,"10.050 g, 558 mmol",,,,,,170,170 °C,48,48 h,Teflon-lined stainless steel autoclave (23 mL),static,,,,,,dark red crystals,25,0.38 × 0.10 × 0.10 mm,,a-Mo8O26 clusters linked by {Co2(tpyprz)(H2O)2}4+ into 2D layers,"a=10.179(2) Å, b=10.668(2) Å, c=11.205(2) Å, α=107.50(3)°, β=104.05(3)°, γ=100.44(3)°, triclinic",,,,,,,10.1016/j.ica.2004.07.029,ok,
10.1016/j.ica.2004.07.029,yes,Attempted Fe analogue gave molecular [Fe(tpyprz)2]2[Mo8O26]·3.7H2O instead of target framework.,,,MoO3,,"0.160 g, 1.112 mmol",1.112,mmol,Ni(CH3COO)2·4H2O,,"0.111 g, 0.446 mmol",0.446,mmol,,,,,,tetra-2-pyridylpyrazine,tpyprz,"0.086 g, 0.221 mmol",0.221,mmol,,,,,,,,,,,t-butylphosphonic acid,,"0.238 g, 1.723 mmol",1.723,mmol,HF,,"0.156 g, 3.90 mmol",3.9,mmol,water,H2O,"10.300 g, 572 mmol",,,,,,170,170 °C,48,48 h,Teflon-lined stainless steel autoclave (23 mL),static,,,,,,pale orange crystals,40,0.12 × 0.10 × 0.04 mm,,a-Mo8O26 clusters linked by {Ni2(tpyprz)(H2O)2}4+ into 2D layers,"a=10.1424(5) Å, b=10.6684(5) Å, c=11.1433(5) Å, α=108.124(1)°, β=103.680(1)°, γ=100.303(1)°, triclinic",,,,,,,10.1016/j.ica.2004.07.029,ok,
10.1016/j.ica.2004.07.029,yes,Attempted Fe analogue gave molecular [Fe(tpyprz)2]2[Mo8O26]·3.7H2O instead of target framework.,,,Mo7O24·4H2O,,"0.100 g, 0.081 mmol",0.081,mmol,Cu(CH3COO)2·1H2O,,"0.044 g, 0.220 mmol",0.22,mmol,,,,,,tetra-2-pyridylpyrazine,tpyprz,"0.043 g, 0.111 mmol",0.111,mmol,,,,,,,,,,,"4,4'-diphenylbisphosphonic acid",,"0.070 g, 0.223 mmol",0.223,mmol,,,,,,water,H2O,"10.211 g, 567 mmol",,,,,,200,200 °C,48,48 h,Teflon-lined stainless steel autoclave (23 mL),static,,,,,,dark purple blocks,,0.20 × 0.10 × 0.06 mm,,d-Mo8O26 clusters linked by {Cu2(tpyprz)}2 subunits into 2D layers,"a=11.413(1) Å, b=12.113(1) Å, c=12.514(1) Å, α=114.864(2)°, β=103.576(2)°, γ=93.308(2)°, triclinic",,,,,,,10.1016/j.ica.2004.07.029,ok,
10.1039/d1mh01663f,yes,"Screened modulator, time, temperature; some conditions gave amorphous/no solid; phase transformations observed.",MOF-235(Fe),,FeCl3·6H2O,,1 mmol,1,mmol,,,,,,,,,,,terephthalic acid,H2BDC,1 mmol,1,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,10 mL,10,,,,,120,120 °C,24,24 h,50 mL Pyrex reagent jar,,"DMF, DCM",3× each,dried under vacuum overnight,,,,,,acs,Fe3O 6-connected SBU; [FeCl4−] counterion in pores,,,,not_reported,not_reported,,,10.1039/d1mh01663f,ok,
10.1039/d1mh01663f,yes,"Screened modulator, time, temperature; some conditions gave amorphous/no solid; phase transformations observed.",MIL-53(Fe),2088536,FeCl2·4H2O,,1 mmol,1,mmol,,,,,,,,,,,terephthalic acid,H2BDC,1 mmol,1,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,10 mL,10,,,,,150,150 °C,72,3 days,50 mL Pyrex reagent jar,,DMF,several times,,,,yellow needle-shaped crystals,,0.16 × 0.04 × 0.03 mm,,Fe(OH) 1D chain SBU,"a=6.8403(12), b=10.7142(18), c=10.7928(18) Å, P-1 (150 K)",,,not_reported,not_reported,,,10.1039/d1mh01663f,ok,
10.1039/d1mh01663f,yes,"Screened modulator, time, temperature; some conditions gave amorphous/no solid; phase transformations observed.",[Fe(DMF)(BDC)],2088533,Fe(BF4)2·6H2O,,1 mmol,1,mmol,,,,,,,,,,,terephthalic acid,H2BDC,1 mmol,1,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,10 mL,10,,,,,150,150 °C,72,3 days,50 mL Pyrex reagent jar,,DMF,several times,,,,yellow polyhedral crystals,,0.08 × 0.07 × 0.03 mm,,1D Fe(DMF) chain SBU,"a=19.4334(19), b=7.2431(7), c=8.7675(9) Å, Pnma (150 K)",,,not_reported,not_reported,,,10.1039/d1mh01663f,ok,
10.1039/d1mh01663f,yes,"Screened modulator, time, temperature; some conditions gave amorphous/no solid; phase transformations observed.",,2088534,Fe(BF4)2·6H2O,,1 mmol,1,mmol,,,,,,,,,,,terephthalic acid,H2BDC,1 mmol,1,mmol,,,,,,,,,,,acetic acid,AA,40 mmol (40 eq.),40,mmol,,,,,,dimethylformamide,DMF,10 mL,10,,,,,120,120 °C,24,24 h,50 mL Pyrex reagent jar,,DMF,several times,,,,orange hexagonal-shaped crystals (hexagonal plates),,0.12 × 0.10 × 0.01 mm,acs,Fe3O 6-connected SBU; [BF4−] counterions in pores,"a=b=12.6391(8), c=18.3551(14) Å, P-62c (150 K)",,,not_reported,not_reported,,,10.1039/d1mh01663f,ok,
10.1039/d1mh01663f,yes,"Screened modulator, time, temperature; some conditions gave amorphous/no solid; phase transformations observed.",MIL-88B(Fe),2088535,Fe(SO4)·7H2O,,0.05 mmol,0.05,mmol,,,,,,,,,,,terephthalic acid,H2BDC,0.05 mmol,0.05,mmol,,,,,,,,,,,acetic acid,AA,0.2 mL,,,,,,,,dimethylformamide,DMF,4 mL,4,,,,,120,120 °C,24,24 h,25 mL Pyrex reagent jar,,DMF,several times,,,,orange hexagonal rod-shaped crystals,,0.13 × 0.03 × 0.03 mm,acs,Fe3O 6-connected SBU,"a=b=13.9105(12), c=17.6608(13) Å, P63/mmc (150 K)",,,not_reported,not_reported,,,10.1039/d1mh01663f,ok,
10.1039/d1mh01663f,yes,"Screened modulator, time, temperature; some conditions gave amorphous/no solid; phase transformations observed.",Fe–BDC-Br,2088537,Fe(SO4)·7H2O,,0.05 mmol,0.05,mmol,,,,,,,,,,,2-bromoterephthalic acid,,0.05 mmol,0.05,mmol,,,,,,,,,,,acetic acid,AA,0.2 mL,,,,,,,,dimethylformamide,DMF,4 mL,4,,,,,120,120 °C,24,24 h,25 mL Pyrex reagent jar,,DMF,several times,,,,dark red block-shaped crystals,,0.33 × 0.30 × 0.06 mm,snw,Fe3O 6-connected mixed-valence SBU,"a=b=16.3069(11), c=52.852(4) Å, I41/amd (150 K)",,,not_reported,not_reported,,,10.1039/d1mh01663f,ok,
10.1016/j.ica.2012.01.011,yes,"Other diphosphonate/ligand combinations gave intractable microcrystalline mixtures; only L5 or L7 with 1,4-butylenediphosphonic acid yielded crystals.",,851855,Cu(CH3COO)2,,"0.046 g, 0.38 mmol",0.38,mmol,MoO3,,"0.130 g, 0.90 mmol",0.9,mmol,,,,,,"1,4-butylenediphosphonic acid",,"0.076 g, 0.35 mmol",0.35,mmol,"N1,N1,N7,N7-tetrakis(2-pyridylmethyl)heptane-1,7-diamine",L7,"0.100 g, 0.20 mmol",0.2,mmol,,,,,,hydrofluoric acid (48 wt.% in H2O),HF,210 μL,,,,,,,,water,H2O,10 mL,10,,,,,100,100 °C,48,48 h,Teflon-lined autoclave (23 mL PTFE-lined stainless steel container),static,,,,,,dark green crystals,38,,,{Cu2Mo5O15(O3P)2}n chain via Cu(II) linkers,"a=19.469(1) Å, b=22.026(1) Å, c=13.2319(7) Å, β=117.7(1)°, C2/c",,,not_reported,not_reported,,,10.1016/j.ica.2012.01.011,ok,
10.1016/j.ica.2012.01.011,yes,"Other diphosphonate/ligand combinations gave intractable microcrystalline mixtures; only L5 or L7 with 1,4-butylenediphosphonic acid yielded crystals.",,851856,Cu(CH3COO)2,,"0.046 g, 0.38 mmol",0.38,mmol,MoO3,,"0.130 g, 0.90 mmol",0.9,mmol,,,,,,"1,4-butylenediphosphonic acid",,"0.060 g, 0.275 mmol",0.275,mmol,"N1,N1,N5,N5-tetrakis(2-pyridylmethyl)pentane-1,5-diamine",L5,"0.050 g, 0.107 mmol",0.107,mmol,,,,,,hydrofluoric acid (48 wt.% in H2O),HF,160 μL,,,,,,,,water,H2O,10 mL,10,,,,,100,100 °C,48,48 h,Teflon-lined autoclave (23 mL PTFE-lined stainless steel container),static,,,,,,green needles,45,,,{Cu2Mo6O18(H2O)(O3P)2}n chain via Cu(II) linkers,"a=19.113(3) Å, b=18.617(3) Å, c=18.959(2) Å, Pnma",,,not_reported,not_reported,,,10.1016/j.ica.2012.01.011,ok,
10.1039/b713705b,yes,"Solvo-/hydrothermal screenings with varied solvents, times, temperatures, and cooling gave only amorphous solids.",,,Cu2(MeCOO)4·2H2O,,"0.038 g, 0.095 mmol",0.095,mmol,,,,,,,,,,,hexacarboxylic polychlorotriphenylmethyl radical,PTMHC,"0.05 g, 0.063 mmol",0.063,mmol,"4,4'-bipyridine",bipy,"0.030 g, 0.20 mmol",0.2,mmol,,,,,,,,,,,,,,,,water,H2O,10 mL,10,tetrahydrofuran,THF,"10 mL (solution of 4,4'-bipyridine)",10,25,room temperature,1080,slow diffusion over 45 days,,static,,,,,,dark red crystals,29,,,Cu(II) square pyramidal; 3-connected Cu nodes with 6-connected PTMHC; two interpenetrating pcu nets cross-linked by bipy,"a=22.3534(4) Å, c=41.1462(3) Å, R-3c (Trigonal)",,,not_reported,not_reported,,,10.1039/b713705b,ok,
10.1039/b713705b,yes,"Solvo-/hydrothermal screenings with varied solvents, times, temperatures, and cooling gave only amorphous solids.",,,Cu2(MeCOO)4·2H2O,,"0.038 g, 0.095 mmol",0.095,mmol,,,,,,,,,,,aH-PTMHC,aH-PTMHC,"0.05 g, 0.063 mmol",0.063,mmol,"4,4'-bipyridine",bipy,"0.030 g, 0.20 mmol",0.2,mmol,,,,,,,,,,,,,,,,water,H2O,10 mL,10,ethanol,EtOH,"10 mL (solution of 4,4'-bipyridine)",10,25,room temperature,480,slow diffusion over 20 days,,static,,,,,,dark green crystals,50,,,Cu(II) square pyramidal; 3-connected Cu nodes with 6-connected aH-PTMHC; two interpenetrating pcu nets cross-linked by bipy,"a=22.4479(5) Å, c=41.1720(6) Å, R-3c (Trigonal)",,,not_reported,not_reported,,,10.1039/b713705b,ok,
