doi,mof_name,metal_1,metal_1_amount_value,metal_1_amount_unit,linker_1,linker_1_amount_value,linker_1_amount_unit,solvent_main,solvent_main_ml,temperature_c,time_h,time_text
10.1002/chem.202402363,Lu-CU-45,lutetium(III) nitrate hydrate,0.31,mmol,"1,3,5-benzenetricarboxylic acid",0.065,mmol,"N,N-dimethylformamide",1.5,130,120,120 h (5 days)
10.1002/chem.202402363,Yb-CU-45,ytterbium(III) nitrate hydrate,0.31,mmol,"1,3,5-benzenetricarboxylic acid",0.065,mmol,"N,N-dimethylformamide",1.5,130,120,120 h (5 days)
10.1002/chem.202402363,Tm-CU-45,thulium(III) nitrate hydrate,0.31,mmol,"1,3,5-benzenetricarboxylic acid",0.065,mmol,"N,N-dimethylformamide",1.5,130,120,120 h (5 days)
10.1002/chem.202402363,Er-CU-45,erbium(III) nitrate hydrate,0.31,mmol,"1,3,5-benzenetricarboxylic acid",0.065,mmol,"N,N-dimethylformamide",1.5,130,120,120 h (5 days)
10.1002/chem.202402363,Ho-CU-45,holmium(III) nitrate hydrate,0.31,mmol,"1,3,5-benzenetricarboxylic acid",0.065,mmol,"N,N-dimethylformamide",1.5,130,120,120 h (5 days)
10.1002/chem.202402363,Dy-CU-45,dysprosium(III) nitrate hydrate,0.31,mmol,"1,3,5-benzenetricarboxylic acid",0.065,mmol,"N,N-dimethylformamide",1.5,130,120,120 h (5 days)
10.1002/chem.202402363,Tb-CU-45,terbium(III) nitrate hydrate,0.31,mmol,"1,3,5-benzenetricarboxylic acid",0.065,mmol,"N,N-dimethylformamide",1.5,130,120,120 h (5 days)
10.1002/chem.202402363,Gd-CU-45,gadolinium(III) nitrate hydrate,0.31,mmol,"1,3,5-benzenetricarboxylic acid",0.065,mmol,"N,N-dimethylformamide",1.5,130,120,120 h (5 days)
10.1002/chem.202402363,Eu-CU-45,europium(III) nitrate hydrate,0.25,mmol,"1,3,5-benzenetricarboxylic acid",0.065,mmol,"N,N-dimethylformamide",1,130,120,120 h (5 days)
10.1039/c9dt04836g,ELM-13,copper tetrafluoroborate hexahydrate,0.25,mmol,"4,4′-bipyridine",0.5,mmol,water,6.25,,,several weeks
10.1021/cg070144q,,Cu(NO3)2·3H2O,0.5,mmol,"1,3-benzenedicarboxylate acid",0.5,mmol,"N,N-dimethylformamide",15,,,several days
10.1039/c5ra10799g,,Nd(NO3)3·6H2O,0.0086,g,"2,6-naphthalenedicarboxylic acid",0.0065,g,"N,N-dimethylformamide",6,,,several weeks
10.1039/c5ra10799g,,Nd(NO3)3·6H2O,0.0086,g,"2,6-naphthalenedicarboxylic acid",0.0065,g,"N,N-dimethylacetamide",6,,,several months
10.1039/c5ra10799g,,Nd(NO3)3·6H2O,0.0086,g,"2,6-naphthalenedicarboxylic acid",0.0065,g,"N,N-dimethylacetamide",6,,,several months
